,0
0,"[-10.06329   -8.575822  -9.602074 -10.349056 -10.30022  -10.117114
 -12.27048  -11.861696 -12.778038 -11.879212 -12.082212 -12.70113
 -11.517176 -13.668802 -12.847754 -12.5425   -12.900186 -12.260214
 -13.012416 -12.467506 -12.698114 -12.239044 -12.442566  -9.860696
  -8.23919   -8.845406  -9.107508  -9.562982 -10.247266 -10.247672
  -7.167466  -5.897324  -5.30816   -5.011664]"
1,"[ -7.418606  -8.146506  -9.946884  -9.6483    -9.110582  -9.69586
 -10.44174  -10.488488  -9.555268  -9.507534  -8.841984  -9.42181
  -9.397856  -9.3931   -10.47509   -9.17444   -9.671906 -10.742412
 -10.324986  -9.86377   -9.43399  -10.845942 -11.516248 -10.556
  -9.74516  -11.2491   -11.164942 -10.156322 -10.600254 -10.48727
 -11.501632 -10.50931  -11.832638  -9.437238  -7.50201   -6.929202
  -7.871006  -8.55993   -7.994778  -6.946022  -8.725346  -8.326132
  -7.288512  -7.935908 -10.65924  -11.67337  -10.366224 -11.56984
 -10.902724 -10.901042 -11.408542 -11.87666  -12.32906  -10.420338
 -11.204614 -11.824924 -12.01673  -12.04979  -11.590546 -11.384646
 -11.587008 -12.11504  -11.86361  -11.921668 -11.788674 -11.567694
 -11.701906 -10.638824 -10.339138 -10.24686   -9.807162  -9.491874
  -8.853758 -10.26832   -9.42964  -10.591728 -10.56528  -10.381884
 -10.0166    -8.271902  -8.586552  -8.841926  -8.548736  -8.929042
  -8.627268  -8.62344   -8.550302  -8.713688 -12.669114 -11.521584
 -12.36415  -12.877566 -12.664532 -12.473422 -13.166406 -13.03782
 -13.09234  -13.122326 -12.527478 -12.004144 -12.350114 -13.399218
 -11.515842 -12.03703  -12.478004 -12.157206 -12.64661  -11.293876
 -12.379288 -11.72673  -11.850328 -12.709192 -11.286684 -11.490728
  -9.805654 -12.000142  -9.805886 -10.771644 -13.039444 -12.590234
 -12.905058 -13.176614 -12.189338 -11.516074 -12.783664 -11.245562
 -10.742818 -11.714782 -11.850038 -11.837278 -10.91966  -13.289656
 -12.33022  -11.935066 -13.004064 -12.418554 -12.779836 -12.116896
  -9.079668  -9.002934 -12.485544 -10.598224 -12.111676  -9.137146
  -7.398132  -6.348274  -7.745204 -10.00297   -6.604634  -5.408384
  -7.62613   -5.29569 ]"
2,"[-11.04175  -12.162542 -12.486936 -12.682686 -11.911866 -12.763596
 -11.870918 -10.241292 -10.158874 -10.868156 -13.026336 -11.726324
 -10.970526  -8.497232  -7.501488  -9.321354  -8.694374  -8.84326
  -8.470668  -8.765598  -8.708932  -8.985244  -8.957578  -9.07729
  -8.6565    -9.207094  -8.86211   -8.908626 -10.542428  -9.513218
  -9.712042  -9.35772   -8.611376  -7.696948  -8.700928  -7.950582
  -9.504982 -12.496854 -11.403496  -8.53615   -7.109408  -7.188636
  -7.853548  -7.883592  -7.772522  -7.87118   -7.809526  -7.813992
  -8.298814  -7.777916  -8.636374  -7.70762   -7.738708  -7.514828
  -8.076326  -7.662496  -7.789458  -7.608556  -8.07012   -7.554384
  -7.696426  -7.835336  -7.14502   -8.013802  -8.14958   -7.9808
  -7.547772  -8.338544  -7.963284  -7.57132   -7.05744   -7.5661
  -7.509144  -7.80158   -7.520338  -8.103818  -7.82333   -7.926744
  -7.408514  -8.435868  -7.644458  -8.25253   -7.715044  -7.994488
  -6.989696  -8.144882  -9.644588  -9.817196  -7.25725 ]"
3,"[ -8.60865   -9.180356  -8.92272   -8.321608  -8.840882  -8.699768
  -8.776038  -9.939982  -8.926084  -9.487408 -10.27905  -12.177274
 -12.611926 -12.368674 -10.09693   -9.670456 -11.121384 -12.61848
 -11.938546 -12.904594 -11.384414 -12.794278 -11.285292 -10.762422
 -12.9775   -13.596244 -13.606626 -13.817398 -13.335476 -13.400262
 -13.468006 -13.535228 -13.758122 -13.123834 -12.968394 -12.451382
 -12.446046 -12.977094 -13.806958 -12.70606  -10.25179  -11.443574
 -11.711766 -11.500704 -12.73042  -11.562416 -12.435606 -11.845224
 -11.445836 -12.952734 -11.900672 -12.4903   -12.214336 -10.84078
 -11.744768 -11.358894 -11.959194 -13.733356 -13.351426 -12.705422
 -13.29041  -13.04188  -13.458204 -13.75383  -12.835748 -13.70221
 -12.888992 -13.286234 -12.307426 -12.27309  -13.307288 -12.177042
 -11.589386 -11.734502 -13.29331  -13.343712 -11.79691  -12.39547
 -12.837314 -10.66388  -10.759464 -12.984344 -13.25474  -13.51226
 -13.267964 -12.225704 -12.534322 -10.829064 -11.628072  -9.481782
  -9.688262  -8.53267   -9.14573   -9.61089   -9.706938  -9.376976
  -9.361374  -9.60857   -9.458814  -9.366362  -9.247346 -11.701732
 -11.268414 -11.440848 -13.673558 -11.3999   -12.493374 -11.813614
 -13.25561  -13.815484 -13.107188 -12.802224 -11.777016 -12.424876
 -12.540238 -11.415038 -12.271408 -13.097038 -12.417568 -11.670122
 -12.850364 -13.38901  -13.318656 -12.11736  -12.684252 -12.000026
 -12.38213  -12.91689  -12.650844 -12.27599  -12.41751   -9.49895
  -8.703712  -8.614334  -8.346258  -9.021552  -8.799586  -7.884694
  -8.641014  -5.792286]"
4,[-5.658828]
5,"[-10.951444 -11.626564  -9.621968  -8.294928  -8.832704  -9.7063
 -11.704806 -12.252094 -11.711998 -11.7595    -9.723874  -8.715892
  -9.281682 -11.124342 -10.259156 -10.473872 -10.677336  -9.730718
  -9.635308  -9.885578 -10.385886 -10.378462 -10.140256 -10.944078
 -11.140118 -10.791016 -11.8291   -11.50488  -12.37517  -11.958904
 -11.667164 -11.35872  -10.763176 -11.972708 -10.88805  -10.745602
 -10.174592 -10.061898  -9.988992  -9.02915   -9.972346 -11.165174
 -11.011242 -10.920646 -10.818798 -10.67693  -10.844492 -11.263078
 -11.237732 -11.122312 -10.552636 -10.335368 -10.74044  -10.385944
  -9.622142  -8.130556  -8.706264  -8.377172  -9.579048  -9.926294
 -10.067814 -10.157482  -9.291542 -10.352478  -8.933102  -9.751598
  -9.995372  -9.126126  -9.307202  -9.427088 -10.111082  -9.32495
  -8.970396  -8.642174  -8.904044  -8.09622   -8.573734  -8.977008
  -7.94136   -7.585124  -8.556218  -8.028128  -8.255372  -8.453674
  -7.925468  -8.410232  -8.405128  -8.054402  -8.15335   -8.239712
  -7.974884  -8.10289   -8.076036  -8.05678   -8.972832  -7.631582
  -8.096684  -8.655688  -8.090594  -7.91033   -8.663982  -7.458974
  -8.104514  -8.223298  -8.277412  -9.399074  -8.16089   -7.717886
  -8.602444  -8.708758  -7.983468  -7.642602  -9.393158  -9.100548
  -8.40594   -8.614102  -8.343648  -8.656616  -8.557668  -7.92396
  -8.00023  -10.109922  -8.293246  -7.841716  -9.015404 -11.039372
 -10.414306 -10.075702 -10.003608  -9.735474  -8.377578  -8.083054
  -7.705184  -8.486328  -8.259258  -8.028766  -8.08259   -8.227996
  -7.933762  -7.916884  -8.488938  -8.08404   -7.893916  -8.135022
  -7.578918  -8.908394  -8.350318 -10.901448  -8.284256  -8.719024
 -10.335484  -9.361954 -10.562032  -9.089934  -7.698398  -8.380768
  -9.454928  -9.788544 -10.788174  -9.347512  -8.760262  -9.000962
  -8.57443   -8.935248 -10.338616  -8.339066  -8.84297   -9.241314
  -9.806756  -9.913186  -9.29044   -9.244794  -9.201932 -10.155626
 -12.070032 -12.836444 -13.0471   -11.586428  -9.666512 -10.709642
 -12.007566 -11.397232 -12.820146 -12.924836 -12.879306 -11.968242
 -12.328422 -12.621496 -13.407918 -12.42969  -13.553266 -13.187228
 -12.001128 -12.426558 -12.783142 -12.143808 -13.340812 -13.110842
 -13.046926 -12.56309  -12.436592 -12.107848 -12.622772 -13.65842
 -13.013808 -12.152798 -11.298168 -10.099192 -10.1819   -11.73398
 -13.269008 -11.65104  -13.4328   -13.42903  -12.957432 -12.320824
 -12.185974 -11.136    -10.599848  -9.089412  -8.829108  -9.99311
  -9.35424   -7.199192  -7.292398  -8.548272  -8.253806  -8.022154
  -9.515596 -11.706488 -12.301684 -13.444864 -12.583622 -11.202932
 -12.267812 -11.016984 -11.385806 -10.762306 -10.681396 -12.0611
 -13.207992 -13.170582 -13.48819  -11.452332 -11.033224 -12.05037
 -13.066646 -12.82032  -10.586392 -12.442914 -11.019594 -11.197828
 -10.908466 -10.65315   -9.771782  -9.85014   -7.973666  -9.233368
  -9.944042  -9.108958  -8.51701   -9.676546 -10.645494 -10.688008
 -11.245156  -9.540188 -10.130048 -10.320056  -9.366304  -8.852424
  -8.753244  -9.064182  -8.64432   -9.679968  -9.164696  -8.172954
  -8.661372  -8.391034  -8.11826   -6.999266  -6.835416  -7.135566
  -7.824664  -9.970026  -9.754846 -10.502582  -9.974376  -8.94998
  -9.247404  -8.225502  -9.690756  -9.264514  -8.195806  -8.253284
  -8.158454  -9.455218  -9.141612  -7.261948  -7.964212  -6.029854
  -7.28016   -9.878212  -8.651918  -9.68774   -9.788428  -9.494136
  -8.786362  -7.993096  -7.59568   -5.46824 ]"
6,"[-11.108682 -10.302134 -11.17805  -12.452368 -11.256872 -11.861116
 -10.972324 -11.350194 -11.366898 -10.524738  -9.973448  -9.907096
 -11.01884  -12.382188  -8.208682  -9.312828  -8.217382  -8.934436
  -9.492512  -9.764358  -9.809018  -7.982424 -10.903072  -9.370422
  -9.923626 -11.73166  -11.498848 -10.452238 -10.127844 -10.614696
 -10.378578 -11.3535   -11.643732 -11.459698 -10.64648  -10.373764
 -10.79061  -11.367304 -11.16384  -11.234194 -11.196088 -11.17312
 -10.507222 -11.882054 -10.018166 -11.517118  -9.705604 -10.174592
 -11.743202 -11.509056 -10.502408 -11.860362 -11.876254 -11.63944
 -11.600696 -11.707532 -10.518996 -11.91697  -11.52373  -11.554876
 -11.526804 -11.110132 -11.366898 -10.359148 -11.432148 -11.756078
  -9.579222 -10.466854 -11.31696   -9.166668  -8.481862  -9.1814
  -7.704198  -9.13616   -7.864742  -8.936582  -9.457306  -9.082568
  -8.432214  -8.218426  -9.22751   -7.579208  -7.538202  -9.658102
 -10.20945   -8.945108  -9.198046  -9.151704  -8.472582  -8.812984
  -7.245708  -7.574626  -9.547322  -9.138538  -7.902732  -6.887906
  -7.105754  -6.802704  -9.254364  -9.343742  -8.48511   -6.774864
  -9.785876  -8.820234  -9.446112 -10.840606  -9.675618  -8.222428
 -11.240806 -10.634532 -11.008922 -11.379658 -11.098706 -10.88921
 -11.02899   -9.797882  -9.858724  -9.73356   -9.55753   -9.894568
  -9.360968  -9.536592  -8.952648  -9.213706  -9.235862  -9.408876
  -8.893662  -8.677032  -8.774704  -8.144534  -9.042142  -9.758442
  -9.819284  -9.84724   -9.856288  -9.762792 -10.003376  -9.61611
  -9.453304  -9.771434  -9.13007   -9.664366  -8.788218  -9.624462
  -9.521628  -9.896192 -10.093044  -9.840628  -9.651258  -9.696208
  -9.584094 -10.108182  -9.025206  -9.285394  -6.782984  -5.450956]"
7,"[ -8.815362  -9.73211   -8.578026  -7.957368  -9.081002  -8.672276
  -8.741006  -9.44385   -8.692402  -8.60372   -8.650932  -8.558828
  -8.771456  -8.488184  -8.257692  -8.408028  -8.616538  -8.581622
  -8.745588  -8.59531   -8.478614  -8.366094  -9.086396  -9.283016
  -8.683586  -8.694954  -8.609578  -8.499958  -8.701566  -8.635156
  -8.598152  -8.632198  -9.338058  -8.099294  -9.101186  -8.82615
  -8.55877   -9.30784   -9.760588  -8.638404  -8.601632  -9.008734
  -8.206884  -8.79338   -8.589162  -7.842296  -8.878524  -9.677068
  -8.091986  -8.442422  -9.383646 -10.24222   -7.764228  -9.16777
  -8.912164 -10.513254  -9.913302 -10.018862 -10.388148 -10.386118
  -9.606424 -10.03168   -8.240814  -8.667288  -8.383146  -9.353312
  -8.620424  -8.28965   -9.932616  -9.840628  -9.62423   -9.148166
  -9.674922  -7.884114  -9.04945   -8.203114 -10.27557   -7.56929
  -7.275462  -8.738106  -8.718966  -8.411566  -8.753592  -8.444568
  -8.718734  -8.663982  -8.953518  -8.444974  -8.821742  -8.182234
  -8.881308  -9.205064  -8.56167   -6.931232  -7.06788   -8.574372
 -10.600312 -10.18016   -9.348498  -8.021052  -8.95549   -8.670014
  -8.776792  -9.250478  -8.76554   -7.84276   -8.734452  -7.74793
  -8.153988  -8.776444  -8.724882 -10.162586  -9.108552  -9.834422
  -9.811802  -9.998794  -8.370502  -8.409594  -9.218694 -10.071932
  -8.960014  -7.31844   -8.382624  -8.867968  -8.102832  -9.082974
  -8.049762  -8.526116  -9.518612  -9.004964  -8.765946  -9.08773
  -8.938438  -8.981764  -8.681034  -8.844478  -8.928346  -8.567934
  -9.045274  -9.412704  -8.725172  -8.36534   -8.762872  -9.071316
  -9.190738  -7.90192   -9.890218  -8.386162  -8.996844  -9.07584
  -8.348926  -9.551092  -8.85399   -8.924808  -8.885832  -9.96672
  -8.480412  -7.45213   -7.358344  -9.098866  -8.232056  -8.332918
  -9.834248  -8.606562  -8.278514  -8.387264  -8.615552  -9.816674
 -10.808706  -6.090464  -5.086252  -5.706852  -6.304658  -8.536208
  -7.4153    -8.48598   -9.093472  -9.835002  -9.664366 -10.078022
  -9.763662 -10.91763  -10.321042 -10.748734  -9.756992 -10.299002
  -9.82288  -10.607446 -10.664808 -10.514298 -10.85876  -10.676466
 -10.656746 -10.44957  -10.555246 -10.270872 -10.34981  -10.141184
 -10.303178 -10.438144 -10.837822 -10.664286 -10.501364 -10.975224
 -10.201678 -10.707728  -9.521106  -9.623534  -9.35656   -9.058672
 -10.38606   -8.091812  -6.675046  -8.040192  -7.833596  -8.971266
  -8.937974  -8.945166  -9.650794  -9.71413  -10.46465   -8.254154
 -10.071178  -8.790654  -9.590416  -9.158142  -9.368102  -6.19701
  -6.384698  -9.080712 -11.16471  -11.817326 -10.466158  -9.826534
  -8.673494  -8.610448  -9.296066  -8.807996  -9.623998  -9.827868
  -9.467224 -10.054938  -9.979712 -11.369392  -9.755774  -9.789878
 -11.148412 -11.299444 -10.691952 -11.161752 -11.354196 -10.843042
 -10.609708 -10.747052 -10.544748 -11.244924  -9.469486  -9.77793
 -11.041228 -10.624382  -8.1983    -9.516292 -10.86456  -10.771238
  -8.88763   -9.076942  -7.25812   -6.390324]"
8,"[-11.156184 -10.806212 -11.169292 -10.887412 -11.55824  -10.83469
 -11.468804 -12.381144 -10.70709  -10.894836 -10.760392 -10.678206
  -9.610426 -11.134086 -11.19197  -11.308956 -11.00434  -11.481564
 -11.460046 -11.376062 -11.91378  -11.23721  -10.809054 -11.40802
 -10.195762 -10.218092 -10.857252 -10.148376 -11.104854 -11.04233
 -10.533032  -9.753512  -7.879764  -9.374482  -8.337326 -10.011438
  -9.785238 -10.354392  -9.824736  -8.424674  -5.913564  -7.616038
  -7.986658  -8.908974  -8.817972  -7.286134  -8.775284 -10.508962
 -11.221666 -10.386756 -11.142322 -11.492526 -10.945586 -10.021994
  -8.964364  -8.684514  -9.525224  -8.10115  -10.02675   -9.29073
  -8.13276   -8.562946  -6.70828   -7.306202  -7.22506   -6.379594
  -6.262376  -7.66528   -8.721634  -7.974246  -7.497022  -8.267552
  -7.077276]"
9,"[-10.834168  -9.405918  -6.93419   -6.136748  -6.943702  -8.416438
  -8.813912  -8.401938 -10.092464 -12.601138 -10.164964 -10.205912
 -10.66707  -11.399784 -11.461032  -9.979132 -11.142032 -11.634452
 -11.702138 -11.728644 -10.163804 -10.552694 -11.595012 -12.254124
 -12.31978  -11.743492 -11.947478 -10.038524  -9.019058 -10.360772
 -11.50836  -12.119274 -12.325232 -11.86042  -11.625984  -9.556718
  -9.157446  -9.839178  -9.532648  -9.726774  -9.72631   -9.859594
  -7.723222  -9.373206 -10.078602  -9.49402  -10.733828  -9.201526
  -8.803878  -9.814006  -9.461772  -9.751946 -10.919718 -12.844332
 -12.030012 -11.567926 -11.978856 -11.68584  -13.133172  -9.733792
  -8.945862  -9.56275   -8.288142  -5.809454]"
