,0
0,"[-14.90885173 -15.67798582 -16.86518513 -16.45781186 -16.32793894
 -14.11431199 -13.34027334 -13.83730208 -13.92921366 -13.92028735
 -13.7229276  -15.36772295 -17.01958088 -17.21929482 -17.5056234
 -18.65034917 -17.52180847 -14.71845647 -16.17197373 -16.12538035
 -12.82480342 -12.74221052 -12.66824966 -13.47946493 -11.87822212
 -12.24282758 -11.1920733  -12.55220762 -12.64627721 -13.14183458
 -13.24718467 -13.80640332 -13.90194427 -16.65016895 -15.57126245
 -13.9739433  -12.70120835]"
1,"[-10.52112863 -11.9249136  -14.03848739 -15.21744704 -19.13462605
 -17.66521799 -17.64030279 -15.93537745 -12.44626899 -11.84055506
  -9.30979885  -8.82414869  -9.81389017 -10.35545238  -9.34844683
 -10.05568529  -9.23524944  -9.55904891  -9.37189066  -9.29734125
  -9.5579699   -9.3691441   -8.52075222  -9.03622214 -10.55604914
 -10.17005978  -9.60946785  -9.47645601  -8.44061161  -9.36188534
 -10.17280633 -10.18693148  -9.53119097  -8.24119194  -6.35891749
  -9.53030815 -10.18752003  -9.06103924  -7.60977808  -8.81483002
 -10.25451641  -9.20042702  -9.87048887  -9.84096338 -11.07181333
  -9.25123833 -10.72113684 -10.3869397  -10.30778     -6.51292087
  -4.54118713  -2.1735568 ]"
2,[ 7.66029481  2.12039099 -3.0838443  -5.10972446 -5.40723545 -8.00773459]
3,"[-22.89201429 -21.1311769  -20.1982303  -18.87468403 -19.37141851
 -21.96063715 -22.25187029 -23.39208387 -25.74245013 -23.63387898
 -21.95406503 -20.23246417 -20.3157437  -19.89120445 -21.6524342
 -23.78719573 -26.02563978 -28.37384803 -30.83525367 -33.60917828
 -36.80548413 -39.00596685 -38.64194994 -41.8833778  -43.3796727
 -43.54192556 -43.82064225 -43.19786042 -42.14720423 -42.36765468
 -42.71294595 -42.44367545 -42.41830904 -42.55442056 -42.57506879
 -42.66202675 -42.53279142 -42.41251184 -42.76262921 -42.43310121
 -42.59166584 -42.33543168 -42.10794808 -41.48762835 -42.61125468
 -42.76683733 -42.47818398 -42.49369222 -43.32106313 -42.75714591
 -42.03058345 -42.45075765 -42.58763428 -42.84444718 -42.32158118
 -42.80838881 -42.65700447 -42.24574678 -42.55848154 -42.85535494
 -42.80802588 -43.03979606 -42.5891547  -42.13186275 -42.64173165
 -42.7142898  -42.39951474 -42.37640442 -42.47584941 -42.26892576
 -42.63121626 -42.51744994 -43.37077581 -42.24976852 -41.93739669
 -42.6309318  -42.5577949  -42.09348942 -42.61918046 -42.48258828
 -41.56915205 -42.35369628 -42.49779244 -42.07395944 -42.72650217
 -42.71684018 -42.59429469 -43.17767323 -42.81924752 -42.37894499
 -42.63153996 -43.03838355 -43.17886013 -43.27654928 -42.58223926
 -42.85813092 -42.56900674 -42.91249314 -43.02469    -42.35075354
 -42.2861604  -43.0717346  -41.62032629 -41.42071044 -40.57687981
 -42.06921182 -42.52118722 -42.83149913 -42.60793919 -42.58288666
 -42.25269164 -42.63173614 -42.5540282  -42.418054   -42.58577055
 -42.60068043 -42.87618954 -42.62127961 -42.48944487 -42.76520901
 -42.62225071 -42.11707058 -43.16083095 -42.43396441 -42.08985023
 -42.50612039 -42.17355156 -42.75063264 -42.8113806  -42.86093634
 -41.95692668 -42.26986743 -42.46315639 -42.56193436 -42.64498828
 -42.32333702 -42.45664313 -42.59342167 -42.9648641  -42.31571532
 -42.46266594 -42.26595359 -43.32456499 -42.81906115 -42.44178229
 -42.67291488 -42.84487879 -43.00620959 -42.54706371 -42.87676828
 -43.16740307 -42.15532619 -42.46879664 -42.55905047 -42.82410304
 -42.1666165  -42.39849459 -43.31392208 -42.54244361 -42.54730894
 -42.55380259 -42.63871044 -42.37517828 -42.03598829 -42.77241872
 -42.49265245 -42.4887288  -42.24388304 -42.6624093  -42.72689454
 -42.31063419 -42.71687942 -42.25873407 -43.60217325 -42.67780964
 -42.73169121 -42.10158196 -42.63516934 -43.54431899 -42.61272605
 -42.66687246 -42.55958997 -42.31469517 -42.09804086 -42.56415122
 -42.63957364 -42.50294223 -42.1749935  -42.06564129 -42.42866748
 -42.68934518 -42.61798374 -42.70640326 -42.29032928 -42.3291244
 -42.23644772 -41.67696422 -42.13420713 -43.61073662 -42.38167193
 -42.60074909 -41.96068358 -42.63164786 -42.44257683 -42.21217012
 -42.52251145 -42.81085091 -42.23027778 -42.36648739 -42.30608275
 -42.69269009 -42.62464414 -42.64192783 -42.93646666 -42.71300481
 -42.49469275 -43.15784897 -42.43252247 -42.58921356 -42.62562506
 -42.3385706  -42.9242641  -42.77989328 -42.39913218 -42.47274972
 -42.79056562 -42.49694885 -42.75168222 -42.47191595 -42.29205569
 -42.15916156 -42.48935659 -42.52000032 -42.5930195  -42.56496538
 -42.67731918 -42.10673175 -43.26554344 -42.26630672 -42.49148517
 -43.42699195 -42.28116756 -43.22142196 -42.32830044 -42.69957611
 -42.22855137 -42.61629657 -42.88081945 -42.4454411  -42.40412503
 -42.63380587 -42.48651194 -42.54802501 -42.46899283 -42.7054812
 -41.77827295 -44.41504626 -42.81196915 -42.72657084 -42.83636446
 -42.03477195 -41.98441187 -42.23152354 -42.07114422 -42.58813455
 -42.72380466 -42.15202052 -42.34144467 -42.43118843 -43.17750647
 -42.43431754 -42.1915317  -42.76106956 -42.046847   -42.8304986
 -42.06813281 -42.31674528 -42.28717074 -42.28791624 -42.27267285
 -43.04115953 -42.61348135 -41.94990334 -42.49919515 -41.73143434
 -42.53391947 -42.47095465 -42.76415943 -42.41838751 -42.29860819
 -42.47853711 -42.91315035 -42.51591972 -42.4509244  -41.86278843
 -42.32897727 -42.74858253 -42.32368034 -42.74518857 -43.37599427
 -42.27677306 -42.79326313 -42.45642733 -42.40201607 -42.5262095
 -42.74993619 -42.7564985  -42.44640239 -42.48860128 -42.90628396
 -42.44140955 -42.64902965 -42.86746922 -42.34087575 -42.6923762
 -43.04395513 -42.56264061 -42.45449493 -42.34241578 -42.55301786
 -42.57383284 -42.24836582 -42.59579548 -43.25495938 -42.38255475
 -42.84401558 -42.493241   -42.25422187 -43.36696987 -42.30121742
 -42.93921321 -42.09505888 -42.92221399 -43.35903428 -42.45419084
 -42.32080626 -42.70227362 -43.12379166 -43.23464467 -42.684421
 -42.58795799 -42.32906555 -42.64458611 -42.55562708 -42.93952711
 -42.33865888 -42.33795262 -42.65226666 -42.75898021 -42.84194586
 -42.36385854 -43.13262969 -42.54698524 -42.39064728 -42.49736084
 -42.60471198 -42.85789551 -42.56669179 -41.93971165 -42.3997894
 -42.7269632  -42.78856456 -42.89627864 -42.80554417 -42.50113735
 -42.29132001 -43.08356441 -43.07469695 -42.78387579 -42.52487545
 -42.32903612 -42.58890947 -42.5178325  -42.61081326 -42.09089
 -42.03974518 -42.61487425 -42.42396891 -41.85687353 -42.15231479
 -41.82264946 -42.71306366 -42.75781293 -42.55351812 -42.86659621
 -42.53549874 -42.55904066 -42.61077403 -42.46191063 -42.61102907
 -43.08296605 -42.3633779  -42.6149331  -42.32881051 -42.80284665
 -42.91131604 -42.88255567 -42.57811943 -42.39609135 -42.51983356]"
4,"[-22.74281738 -20.06659174 -23.73471687 -24.28491111 -21.7825033
 -21.9962443  -22.11895655 -21.88824575 -22.20576737 -21.25339869
 -21.71383937 -22.38086039 -21.05290002 -22.49582342 -22.00536679
 -21.68882608 -22.36241922 -21.28302227 -23.87665502 -23.05965236
 -21.52726967 -22.39596645 -21.65057047 -21.63055984 -21.88108508
 -21.38984372 -21.85322715 -21.89883961 -20.91635689 -22.32298651
 -21.60868547 -22.6860225  -21.96877873 -22.66640424 -20.97334795
 -22.59303193 -22.19370214 -21.12921507 -22.09041197 -23.27761129
 -21.11773838 -21.75562628 -22.40695268 -21.2781177  -22.99854147
 -22.46953495 -20.90262411 -20.1958761  -22.30699762 -21.00375626
 -22.78735084 -21.38248687 -22.61314065 -22.19458496 -21.42309668
 -22.49317496]"
5,"[-15.03823419 -16.88343012 -14.97261109 -11.6873364  -12.87129871
 -12.75682613 -13.35459467 -13.33193557 -13.73175582 -15.86759635
 -16.97494933 -17.28756638 -16.02777948 -18.0235456  -19.64440667
 -17.83736826 -16.47949004 -18.87870578 -21.54757457 -22.00556297
 -19.82538517 -17.09501311]"
6,"[-12.81538665 -13.27043231 -11.68635549 -12.24616269 -11.64790369
 -11.53009601 -11.52852655 -12.22065894 -11.04238594 -12.13169011
 -11.98886914 -12.67197713 -13.97747459 -11.05857101 -14.20102472
 -15.37919964 -16.61279615 -15.69799645 -16.3317645  -15.38194619
 -16.53608873 -15.92792251 -18.45092951 -18.07416072 -16.88578431
 -15.52182442 -15.97736054 -17.33916242 -18.63573356 -17.12836416
 -17.93928515 -18.36529578 -17.95811869 -15.48013561 -16.98348327
 -16.426815   -16.19227864 -18.5787425  -20.69525904 -19.97674008
 -20.9557896  -19.92033757 -18.08485268 -16.855376   -16.34235837
 -16.28448448 -17.98362243 -22.75213606 -27.05393115 -31.26832688
 -33.35070764 -35.30988569 -39.46936008 -39.14417753 -40.7867364
 -44.83781987 -48.36069333]"
7,"[ -2.51981918  -0.99440097  -4.50283342  -2.79123788  -3.76185155
  -1.74028741  -3.71506198  -4.20316442  -2.91885469  -1.3152577
   1.59383676  -1.35861406  -3.8007938   -2.80506875  -3.49641642
  -3.85601922  -1.87428016  -3.66680105  -4.40425164  -2.16306103
  -3.02577424  -3.22254544  -2.94043478  -5.50424777  -6.31909241
  -6.07082327  -4.59945338  -7.33316054  -8.82954372  -9.6892161
  -7.76515474  -9.34471936 -12.0685193  -12.76104406 -12.54141758
 -11.71048596 -12.31266861 -11.73952099 -12.98685029 -15.97677199
 -19.04349921 -19.55828248 -20.10072752 -19.93505127]"
8,"[  3.40018852   3.65571643   3.51044317   3.54575605   4.85753135
   5.33592275   6.03295971   6.11486597   5.73633154   6.01461663
   6.44906311   6.61689737   7.3934864    6.42915057   6.75030158
   6.56520324   6.69056396   6.41492733   5.95017063   6.1744074
   6.26268959   6.722836     7.05516942   8.17959029   6.65171979
   7.31501334   6.35852482   4.4465287    3.19949367   2.28077031
   4.7393313    6.09112787   7.87050452   9.64223005   9.48351828
   9.55777341  10.12101381   9.89520758   9.26428417   8.81659536
   7.80125204   8.87790243   8.07826195   8.3139754    8.6804446
   9.30381497   9.89108774   9.28390243   7.0202489    9.87627595
   8.67838468   7.9272013    8.65248857   9.66498723   9.3475637
   8.18988987   8.46464368   8.26689157   9.60966373   9.08899497
  10.3212182    8.48279057   8.46729214   9.89648276  11.51400873
  14.23712202  12.32865719  13.70291666  14.91454072  14.55807684
  13.76294856  12.90994639  14.28577532  15.12141533  16.9344373
  16.69195555  13.37656682  14.01229671  12.08637161  12.01054702
  10.18928537   9.72021265  10.03645908   8.88545547  10.64295775
  10.71073886   6.25749075   2.26203487  -0.98302237  -1.84034056
  -0.93230916   1.16233301   2.04839196  -0.39310114  -6.1088827
  -8.71673869  -7.78202645  -7.58515716  -7.70914459  -8.37439996
  -9.10174714  -7.70590758 -10.65502329  -9.87382397  -9.76258841
  -7.7079675   -7.68923205  -7.81675078  -7.65852947  -7.3166812
  -7.89237919  -7.42006945  -8.19253865  -7.89600857  -8.12044152
  -8.15075174  -7.81635841  -7.20171816  -8.36684693  -7.87795976
  -7.53120693  -7.27989695  -7.89522384  -7.88413952  -7.3324739
  -7.44292473  -7.43056523  -7.60183268  -8.26120257  -8.46523253
  -8.14133497  -7.48902766  -8.13633232  -8.72576309  -7.76231009
  -9.75003272  -9.65194139  -7.71483389  -7.87472275  -7.85893005
  -8.53281745  -8.31093488  -7.78487109  -7.35013034  -8.98433183
  -8.29916392  -8.74234053  -9.1689397   -8.37194768  -5.43166019
  -2.4528228   -3.34976989  -2.65037873  -2.62821009  -2.15119197
  -3.8019709   -3.34976989  -2.23692379  -2.13088707  -4.04425647
  -4.88833233  -3.45394287  -1.93754907  -2.52678366]"
9,[11.12497853 11.28545594]
