,0
0,"[ -7.189274  -9.825432  -8.820408  -8.910192  -9.949262  -9.357488
 -10.672928  -9.21881   -9.871716  -9.574524  -8.73103   -9.199322
  -8.569152  -9.205644  -8.541602  -9.92438  -10.401198 -10.04531
 -10.286938 -10.283168 -10.306484 -10.331946  -9.031296 -10.272554
  -8.265986  -9.881518  -6.168126  -6.131296  -8.708816 -10.561162
  -9.787964  -8.39869   -9.124096  -9.488974  -9.54622   -9.58943
 -10.598572  -9.256626  -9.327966  -9.434106  -9.869512 -10.27731
  -9.123516  -9.86232   -8.646118  -9.88871   -9.652012  -9.549932
  -6.714834]"
1,"[ -8.670478  -8.798774  -9.43254   -9.096604  -8.956012  -8.704698
  -8.845348  -8.537078  -9.150254  -8.078704  -8.591308  -8.983852
  -9.0016    -8.944876  -8.836242  -8.691822  -9.269908  -8.529944
  -9.007052  -8.328916  -8.994234  -9.113366  -8.830152  -9.36526
  -9.27304  -10.57166  -11.240748 -11.712926 -11.614558 -11.64089
 -11.23141   -9.718944  -7.428176  -8.969932  -6.840984  -6.435564
 -10.800354  -9.799448  -8.970918  -9.1205    -8.798136  -9.342872
  -8.738918  -9.89103   -9.498486  -9.54274   -9.470762  -9.53259
  -9.367174 -10.140256  -9.967126  -8.427226  -9.708156  -9.456668
 -10.572472  -9.194334  -8.893894  -8.76177   -7.98544   -8.176666
  -8.987332  -8.392136  -8.065364  -8.211814  -8.089086  -7.464658
  -8.151784  -8.745472 -10.67055  -10.887006 -10.712078  -9.258482
  -7.957832  -8.900042  -7.358402  -8.807358  -7.919958  -7.532692
  -9.340204  -8.344692  -6.74163   -7.433802  -9.63699   -8.908742
  -8.047906  -9.590242 -10.451542  -9.679794  -8.974978  -5.35456 ]"
2,"[ -8.286634  -7.878662  -7.428988  -8.518576 -10.065262  -9.473836
  -8.012816  -8.18757   -9.58943  -10.321912  -8.10173   -8.304382
  -7.75141   -9.847994 -10.062536  -9.837554  -9.276926  -8.741644
  -9.411834  -9.793822  -7.568536  -7.849314  -9.339798]"
3,"[ -9.371234  -8.88125   -9.225364  -8.369574  -9.632234  -7.297038
  -6.803922  -6.292594  -9.624172  -9.895844 -11.10352  -10.461112
 -11.43963  -10.422542  -9.82085  -10.345576 -11.571986 -11.104796
 -11.37844  -10.729478 -11.742912 -11.88304  -11.636482 -11.2491
  -9.968982  -9.902166  -9.997866 -10.29906   -9.234238  -9.279942
 -10.543356 -11.689088 -11.643616  -9.90321  -10.935726 -11.16094
 -11.506504 -11.588748 -10.793974 -11.408832 -11.552498 -11.712288
 -10.697752 -11.410978 -10.54353  -10.526014 -10.594222  -9.389446
  -8.842158  -8.364354  -9.445184  -8.351246  -9.163246  -9.108958
  -8.500306  -8.947428  -8.620424  -9.284524  -8.567296  -8.70232
  -8.864024  -9.01088   -8.633358  -9.009256  -8.904508  -9.064008
  -8.635388  -9.513566 -11.138552 -10.289258 -10.178478 -10.36141
 -11.699296 -11.787166 -11.2056   -10.041192 -10.447656 -10.247672
  -9.740114 -10.855106 -11.377918 -11.076782 -11.739896 -10.350274
  -9.713434 -10.54643  -11.300024 -11.237094 -11.050392 -10.641202
 -10.682904 -10.563134  -9.780888 -10.101396  -9.634902  -8.731842
  -8.89488   -9.221768  -8.45582   -8.654934  -9.277912  -8.352116
  -9.073172  -9.03698   -8.676104  -9.02654   -9.026076  -8.609404
  -7.807496  -9.399422  -8.746748  -8.873014  -9.09005   -9.312016
  -9.028396  -9.522208  -8.558422  -9.215388  -7.139974  -7.756224
  -7.747872  -9.578526  -8.83224   -8.891632  -8.817972  -9.362302
 -10.32255  -10.813462 -11.03363  -11.81054  -11.10642  -11.552904
 -11.050102 -10.98607  -10.847798 -10.493244 -10.680352  -9.611006
  -9.501096 -10.597238  -9.46763  -10.650656 -10.790726 -10.19872
 -10.213916 -10.145534 -10.61864   -7.061674  -5.275274  -5.116296
  -6.206522  -9.375874  -7.271924]"
4,"[ -9.75589   -8.159208 -10.118158 -10.312748 -10.806502 -11.092152
 -11.070982 -11.095632  -9.65062   -8.656326 -10.760334 -11.417474
  -9.626956  -8.763626 -11.04987  -10.213394 -10.594164 -11.484406
 -11.54403   -9.984816 -10.499508 -10.262578 -10.724838 -10.056968
  -9.941374  -9.769636 -10.065726 -10.436694  -9.561764  -8.775516
  -9.938532  -9.75473   -8.770238  -9.877864  -9.95019   -9.782338
  -9.328198  -9.662104  -9.564548 -10.189324  -9.19793   -9.777814
  -8.943948 -10.452992  -8.857992  -9.32147   -7.967924 -10.583782
 -10.311994  -9.178616  -9.543146  -9.594766  -9.8513    -9.812092
  -9.77329   -9.576728  -9.42819   -9.352848  -9.1582    -9.048986
  -9.631886 -10.956084 -12.37923  -12.352492 -12.09416  -11.863204
 -12.28527  -11.583412 -11.667628 -12.521388 -11.7856   -12.802804
 -12.88093   -9.424478  -9.078798  -9.057976  -8.892792  -9.318222
 -11.661364 -12.996872 -13.059976 -13.032136 -13.250738 -12.913062
 -13.043968 -12.549112 -13.364766 -12.844216 -12.909176 -13.182356
 -13.098314 -12.37343  -11.778176 -11.841512 -12.757564 -13.33507
 -13.147382 -13.269762 -13.084336 -12.25598  -11.812628 -11.668614
 -12.473132  -9.654448 -10.112358  -9.27101   -8.74756   -8.40333
  -8.453732  -9.707112  -9.780424  -9.421172 -10.202664  -9.878096
  -9.97542   -9.979016 -10.777386  -8.157758  -5.448288]"
5,"[ -9.536476 -10.993436 -10.680874 -10.212582 -10.002622 -10.79728
 -10.467028 -11.112278 -11.418286 -10.9272   -10.112068 -11.049986
 -11.157866 -10.544922 -10.00964  -11.083568 -10.407056  -9.425348
  -8.10724   -8.571762  -8.963958  -9.108262  -9.944216  -7.853896
  -7.405092  -8.336862  -8.657312  -8.195458  -7.895366  -8.105848
  -9.055598  -9.336376  -8.935074  -8.394804  -8.199808  -8.486212
  -8.476816  -7.602118  -7.82014   -7.452884  -7.872978  -9.449418
  -9.905066  -8.963494  -9.185808  -8.765192  -9.051712  -9.202512
  -9.316656  -9.61292   -9.341596  -9.431844  -9.181342  -8.89604
  -9.518032  -9.350702 -10.144142  -8.66549   -9.381326  -8.706902
  -9.639484  -9.5149    -9.375468  -7.995532  -6.432316  -7.052742
  -7.56639  -11.71252  -10.925286 -10.44667   -6.654456]"
6,"[-10.745312 -10.644566  -9.455276  -9.897352 -10.325334 -10.018862
  -9.842832 -10.944368  -9.044462  -9.427436  -8.314126  -8.428386
  -7.29495   -8.53151   -9.049972  -7.994024  -8.45205   -9.285974
  -7.600146  -5.670544]"
7,"[-11.716232 -11.733458 -12.290432 -11.992834 -11.764836 -11.918188
 -12.014816 -12.35313  -10.395572  -8.577736  -8.419454  -9.21968
 -12.3743   -12.374184 -10.383334 -10.76799  -11.756948 -10.547648
 -11.955424 -11.289584 -10.717936 -10.310312 -10.083416 -11.795982
 -10.205448  -9.514146 -10.155974 -11.281812  -9.076594  -8.073832
  -9.972462 -12.0669   -11.633292  -9.522382 -10.413146  -9.003224
  -8.693794  -5.339132]"
8,"[ -8.347882  -7.200178  -8.411218  -9.070562  -9.342466 -10.131034
 -10.415176  -9.501212 -10.504148  -8.797324 -10.49539  -10.813752
 -10.845942 -11.171844 -10.266986  -9.23157  -10.09258   -7.209284
  -6.15931 ]"
9,[-8.947834 -7.324472 -7.352254 -9.68716  -9.745856 -5.056498]
