,0
0,[-7.586748 -5.0605  ]
1,[-8.513704 -8.13131  -7.834234 -7.356546]
2,"[-8.332338 -7.613312 -6.406042 -5.184156 -7.055062 -8.339472 -8.62982
 -8.772384 -8.788914 -7.21114  -6.53689 ]"
3,"[-6.41944  -9.014708 -9.793416 -9.852924 -9.802    -9.824794 -9.743304
 -7.181734 -9.04713  -9.170786 -9.922872 -9.737272 -9.947522 -9.69064
 -9.684376 -9.833204 -9.611006 -7.808946 -8.238842 -8.430184 -9.216258
 -9.4859   -8.776444 -9.21533  -9.470356 -9.573306 -9.513334 -7.543944
 -8.614856 -8.484472]"
4,"[ -7.470574  -8.353044  -9.679852  -9.542972  -9.763604  -9.494252
  -8.743036  -9.192362  -8.27109   -7.250638 -10.17523   -8.952764
  -9.577366 -10.209334  -8.69797  -10.679018  -9.36816   -9.421578
 -10.696882  -8.692518  -5.52885 ]"
5,"[ -9.020624  -8.267088 -10.640448 -10.263332  -9.88349   -9.919972
  -9.780424  -9.82404   -8.40362   -9.308478  -9.986788 -10.857368
  -9.809366  -8.399792  -9.645574 -10.758884  -9.44617   -9.894568
 -10.702334 -10.82657  -10.116302 -10.084576 -10.373416  -8.079516
 -10.07518  -10.3153    -8.685616  -8.107414  -6.01953   -6.15177
  -9.703806  -9.85768  -11.219114 -10.252196  -8.989304 -10.487618
 -10.51192  -10.770774  -9.579396 -10.02182   -9.139408 -10.317504
 -10.963508  -9.432308 -10.889442  -8.994988  -8.560162  -9.407194
  -9.817486  -9.694352 -10.42202   -9.607178 -11.023364  -8.468058
  -8.950212  -9.089354  -8.853584 -10.937524 -11.033572 -10.795308
 -11.037284  -8.998352  -8.616132  -9.651548  -7.029832  -7.426842
  -9.878502 -10.466738 -10.386698 -10.853772  -9.443096  -9.91423
  -9.952104  -9.839932 -10.768628 -10.152146  -9.41282  -10.372488
 -10.741658 -10.333106 -11.232628 -11.045984 -10.07431   -9.44298
  -9.489786  -9.295776  -9.180414  -9.9499   -10.123958 -10.092638
  -9.838598 -10.144258 -10.546894 -10.029476  -9.296356 -11.092268
 -10.553854 -10.05633   -9.397624 -10.136776 -10.837706 -11.35437
  -8.821394 -10.054822 -10.08504   -9.421694  -9.372916  -9.497964
  -7.991762  -6.650396  -8.054286  -7.552702  -8.77743   -9.035066
  -9.224726  -9.710824  -8.748256  -9.662046  -9.290266  -8.23426
  -8.388888 -10.077616  -8.974282  -7.569     -6.551738  -8.182814
  -7.564244  -6.981634 -10.040322  -7.308232]"
6,"[ -8.695824  -8.64925   -9.069634 -10.240132  -9.019522 -10.211364
  -9.021378  -6.24544   -6.659502]"
7,"[ -8.318708  -8.587422  -8.725926  -8.293652  -8.799818  -8.288432
  -7.86799   -8.509354  -9.485204  -8.523912  -7.7836    -8.87603
  -7.841774  -9.227974  -9.088774  -9.086628  -8.6072    -9.090746
  -7.508332  -9.174324  -7.818052  -8.394282  -5.509014  -5.102898
  -5.892626  -8.401358  -7.846356  -9.719756 -10.77379  -10.805168
 -10.332352 -10.428516  -9.58189   -9.396464  -8.028012  -9.65555
  -9.460496  -9.089354 -10.291114 -10.437158 -10.26571  -10.244366
  -9.68194   -8.901376  -9.865336 -10.999758 -10.6343   -10.192398
  -9.46415   -8.666766  -8.564918  -8.836068  -8.307166  -8.935248
  -7.86625   -5.99401 ]"
8,[ -8.968018 -10.291346  -8.242728  -9.057918  -7.96021 ]
9,"[ -6.896722 -10.207536 -10.385712 -10.77785   -9.846544  -8.923996
  -9.126242  -7.503982  -7.149834  -8.272192  -6.039134]"
