,0
0,"[-24.65579442 -26.7967357  -28.05936724 -29.5062143  -31.66628339
 -28.71373448 -29.82805194 -30.80690528 -29.96832254 -30.13350833
 -31.50345179 -29.92172916 -30.40659458 -30.41444189 -28.97004711
 -24.59664535 -27.69093622 -30.87900241]"
1,"[-18.67791284 -17.23587225 -15.77862752 -14.1424642  -12.89778337
 -12.42105952 -10.54310109 -10.34652607 -10.69730065  -9.2639902
  -9.02013516 -10.35770848 -11.70675849 -13.95383458 -12.18514988
 -13.25562052 -15.23363211 -12.62969977 -10.42774569]"
2,"[-2.82400038 -2.840774   -3.30700207 -2.95367711 -3.20253481 -5.65736833
 -2.50304556 -2.50961768 -4.79838259 -6.15017915 -6.28809555 -5.3737863
 -4.29556645 -3.85788295 -4.62711513 -3.7747996  -1.66701319 -1.46386605
 -4.70843284 -7.17199649 -7.39338861 -6.87095421 -5.48825888 -1.51497164
  4.43318828  8.77569127 11.47908821 12.37083646 13.20117953 12.67894131
 12.09657311 12.9843977  10.9081967  11.19109208 12.40222568 14.88854652]"
3,"[3.41902206 5.16955986 6.38275338 4.41513947 4.5245113  5.42754005
 6.45847988 8.5989307  5.61254029 7.14001841 8.76313558 7.81792757
 8.72095631 8.22510466 8.48612568 8.69270601 9.63085145 7.77977004
 6.01991356 5.65589665 6.43483987 6.89165118 7.77672921 4.34510226
 3.47071619 4.22915832 5.78282683 5.12247602 7.11951733 8.72438951]"
4,"[14.59711719 12.9222078   9.07643928  7.27097033  9.03975312  9.31941149
 10.40842139 10.15544386 11.14940327 11.79994494 11.87675045 10.53260501
 11.03247841 11.64721675  9.28095969  9.87529504 10.98500221 10.86415369
  9.62182705  6.58854898]"
5,"[17.67904856 17.98754578 16.32411307 18.39109349 17.64550133 16.00619909
 17.18319691 16.89814351 16.31773714 16.32538826 16.79092969 16.25211404
 16.17079633 15.79952066 14.68029863 12.37554484 12.38702153 13.72685095
 12.81126651 13.2547374  13.60600243 14.85990385 13.44572121 11.81583574
 10.35005705  7.37435859  6.42718875  5.30983046  6.89282827  7.9441711
  9.62074805  7.39937188  7.30912786  9.54149025 10.71289687 10.43637742
 10.35810054 10.28100076  9.81281086 10.00193094 12.27853252 12.71003626
 13.95736556 13.40717132 14.60467022 12.78399712 13.86731773 10.03832282]"
6,"[21.2419217  21.66999224 25.40550612 24.06047786 26.05300696 24.25234449
 25.99209225 28.08143749 27.92478564 27.31083203 26.4132964  24.5066953 ]"
7,"[-17.87846853 -19.44645837 -19.54092032 -19.02074202 -19.83892177
 -21.30842792 -17.45275217 -14.8899201  -13.23060723 -13.37843086
 -13.731952   -13.32516727 -12.91239897 -13.25199114 -13.55283724
 -12.82656906 -13.14065749 -12.50904744 -10.07285127 -12.06773457
 -12.21977612 -12.42704309 -12.39349586  -9.04818928  -9.18895033
  -9.68421344  -7.72003273  -8.05952681  -8.3083845   -6.89361331
  -5.28216901  -3.2455969    0.91445623   4.43436537   6.43886162
   6.45288868   8.89850161   8.27316941   7.76446779   4.84409284
   3.14456253   3.58666013   1.69751929   4.85488289   5.10736996
   3.35957871   2.784175     2.51197157   2.36248039   2.54041805
   2.84754199   2.31873165   2.24849827   3.7386036    1.83631851
   2.8180165    4.22091865   1.62414698   2.55424893   4.77905829]"
8,"[-22.90152915 -24.86708313 -24.47412928 -23.68253228 -24.80773788
 -23.09300341 -23.65791136 -24.49453228 -25.84279755 -26.4709744
 -27.30975333 -29.01762141 -30.18490818 -35.09437904 -39.60241115
 -45.43502929 -48.31577535  46.14397424  43.58486964  41.84512188
  42.58531902  43.65804576  42.14842026  41.39066477  40.61201582
  41.64766404  41.98745239  42.12605544  43.25302668  42.92540165
  41.22793126  40.64634779  40.03200181  40.65262563  39.70251305
  37.88811779  38.24968242  40.84213807  42.58541712  43.18897304
  43.71719483  41.97058069  39.54458601  37.75736206  38.16689334]"
9,"[ 20.74891469  20.98600143  22.37987917  20.78197147  19.44439815
  15.89241315  11.9406079   13.33075817  14.29381881  15.34241508
  19.19907174  21.35796374  24.01672912  25.38961532  26.76309007
  27.70790572  32.37911275  30.88635895  29.97234398  30.02609802
  28.98534905  29.13856771  30.29035605  29.13121086  30.40904656
  32.01882331  30.38736838  29.36957278  29.76115335  29.05587672
  29.36751286  29.83197529  28.5584556   27.66317607  29.32366604
  31.75888129  30.17666821  31.68972691  33.11685761  36.1239453
  40.03994721  43.72798488  44.96678023  44.89330983  48.68738423
  45.50284933  45.94798777  45.62977951  45.3674833   44.91528229
  45.48764517  44.36126248  44.45346833  44.06855796  44.84034052
  44.02363214  45.53227673  46.01724024  45.79937941  45.37032795
  45.99693534  47.16569349  47.59808005 -48.28590752 -47.08211017
 -48.47882668 -48.29290438 -47.55879478 -48.37530011 -47.69599512
  48.6481477  -47.07003513 -43.57876866 -45.08721707 -43.09385419
 -42.76027502 -42.57573581 -42.13776785 -41.82196282 -42.19769184
 -41.26941438 -42.09234175 -41.3839262  -41.10784816 -40.97316877
 -37.81023358 -36.98371607 -34.10355856 -33.19287869 -32.88565666
 -35.28428385 -36.95036502 -38.04163102 -38.3901495  -35.13283084
 -32.50447377 -31.55956003 -31.51502656 -30.63524546 -29.76939333
 -27.00880914 -23.11615297 -20.28082319 -16.40150744 -18.09436754
 -17.21399789 -17.54937213 -17.58311555 -17.60312618 -17.40733589
 -17.98381861 -18.02766544 -17.79970119 -17.64147989 -17.11306191
 -17.53544316 -17.29796406 -17.77988675 -17.97283238 -18.36725761
 -17.68101069 -19.87374419 -20.30201092 -19.89787466 -18.33469129
 -15.31200708 -17.79116725 -20.03696816 -18.92608389 -19.10931849
 -20.09562677 -19.69472752 -17.88494256 -16.74178624 -14.12019747
 -11.35235453  -8.35164278  -5.33445168  -1.64278463   1.08758742]"
