,0
0,"[ -8.905204  -9.340494  -9.489902  -8.53702  -10.02327   -6.661532
  -6.462302  -6.518736  -8.131252  -9.546336  -9.644008  -7.104942
  -7.894264 -10.452354]"
1,"[-10.01399   -9.404932 -10.074948 -10.89965   -9.285684  -8.793032
 -10.597412  -9.16226  -10.062536 -10.20829   -9.396986  -7.564128
  -8.70783  -10.954866  -9.888478  -8.75684   -9.78721   -9.849212
 -10.854468  -7.932602  -8.490794  -8.754926  -8.753128  -9.604858
  -9.219274  -9.248332 -10.132542 -10.036726  -9.732632  -9.360446
  -9.635482  -9.390664  -8.413654  -9.764822  -9.123226  -8.957462
 -10.465404  -9.330402 -10.6111    -9.031876  -8.290868  -8.500306
  -9.28116   -9.266196  -9.088136  -8.88328   -9.16951   -9.253204
  -8.612014  -9.304824  -9.35946   -8.798078  -8.652614  -9.097996
  -8.990522  -9.630958 -10.116418  -9.203092  -9.664192  -9.259352
  -8.043962 -10.07982   -9.022422  -9.581194  -9.895032  -8.963378
  -9.776886  -9.034892  -9.142424  -9.102172  -9.430742  -8.9552
  -9.18198   -9.220492  -9.423376  -9.220724  -8.854454  -9.278724
  -8.72726   -9.569014  -8.9987    -8.81455   -9.133782  -9.227162
  -9.1959    -9.029672  -9.151762  -9.22693   -9.200772  -9.222174
  -9.200134  -9.461018  -9.085004  -9.155474  -8.521766  -8.497928
  -8.67651   -8.973702  -9.407368  -9.069518  -9.255872  -9.157968
  -9.04046   -8.849466  -9.161158  -9.124966  -9.609208  -9.198452
  -9.124676  -8.810896  -9.388344  -9.226002  -9.291948  -9.203324
  -8.76699   -9.497848  -8.093552  -9.018362 -10.186134  -9.674748
 -10.27731   -8.999744  -9.633858  -9.381558  -9.137726  -9.680548
  -9.177746  -8.663634  -9.51896   -9.138828  -9.80693   -9.1002
  -9.685536  -9.00682   -9.331156  -9.16951   -9.332722  -9.182212
  -9.23708   -9.110234  -9.035298  -9.169104  -9.026134  -9.282436
  -9.35917   -9.14573   -9.365028  -9.401162  -9.420882  -9.06134
  -9.351572  -8.912686  -8.926838  -9.228148  -9.10426   -9.367348
  -9.191492  -9.429176  -9.446692  -9.240212  -9.078276  -9.335912
  -8.500886  -7.593418  -9.167886  -9.619996  -8.865706  -8.92997
  -8.677206  -8.324334  -9.868062  -9.742782 -10.235608 -10.320694
  -9.994734 -10.09432   -9.136508  -9.008096  -8.837286  -9.143236
  -9.173454  -8.899404  -8.610448  -7.86944   -7.859696  -8.666998
  -8.370908  -8.859964  -8.721982  -8.57965   -6.745168  -6.970382
  -7.49795   -9.27826   -9.450056  -9.22374   -9.951872  -8.732538
  -8.765308  -9.248332 -10.277658  -9.813426 -10.983402 -11.154328
 -10.996278 -11.16674  -11.135246 -10.795888 -10.93039  -11.220564
 -11.164884 -10.526478 -10.99825  -10.331656 -10.838402  -9.577772
  -9.477374  -9.037966  -6.404186  -5.47346   -5.378166  -6.220326
  -9.845268  -9.90321  -10.06996  -10.20278   -9.497442  -9.336028
  -9.533924  -9.930064 -11.32392   -6.375186]"
2,"[-12.672304 -13.021058 -12.939974 -12.508164 -12.522316 -12.478236
 -12.24438  -12.685354 -12.479628 -12.805472 -12.571384 -12.766728
 -12.407592 -11.462134 -11.636656 -11.95293  -11.756368 -12.825076
 -12.664996 -12.82786  -12.225182 -12.41171  -12.408172 -12.511934
 -12.750198 -12.522896 -12.728796 -12.576256 -12.469014 -12.791726
 -12.664706 -12.351564 -12.111792 -12.286778 -12.263868 -12.998728
 -10.957244 -12.697418 -12.657978 -12.296058 -11.789544 -12.601544
 -12.765626 -12.573936 -12.683266 -12.451266 -12.805472 -13.025814
 -12.09706  -12.609664 -12.299132 -12.75246  -12.656064 -12.696954
 -12.756404 -12.381782 -12.09822  -12.947514 -12.772296 -12.804312
 -12.890732 -12.694054 -12.091492 -12.726534 -12.96416  -12.361888
 -12.532582 -12.906508 -12.588146 -12.555782 -12.537918 -12.887716
 -12.783316 -12.463214 -12.723054 -12.877624 -12.547662 -12.583274
 -11.43963  -12.385726 -12.54685  -12.440304 -12.797642 -12.875884
 -12.396166 -12.808082 -13.001048 -12.510716 -12.339906 -11.936632
 -12.627006 -12.816898 -12.861326 -13.021406 -12.825888 -12.59238
 -12.770324 -12.734538 -12.425978 -12.174316 -12.481484 -12.325174
 -12.66082  -12.577416 -12.492388 -12.786854 -12.764582 -12.662328
 -12.375518 -12.348722 -12.6817   -11.617922 -12.52394  -12.684252
 -13.00099  -12.890036 -12.915614 -12.7658   -13.046694 -12.676538
 -13.052146 -12.613724 -12.01354  -12.719922 -12.576604 -12.67387
 -12.107674 -12.485022 -12.502016 -12.726476 -12.856628 -12.924778
 -12.818986 -11.88652  -11.434352 -12.402372 -12.165848 -12.560712
 -12.235912 -12.215902 -12.45376  -12.79509  -12.949776 -12.91254
 -12.637794 -11.847138 -12.326566 -12.641854 -12.761566 -12.669694
 -12.490126 -12.906276 -12.509962 -12.708612 -11.72673  -12.11185
 -12.398834 -12.62022  -12.936436 -12.695678 -12.280746 -12.81684
 -12.71476  -12.719574 -11.875326 -12.531596 -12.93922  -13.122152
 -12.9079   -12.852626 -12.932376 -13.124704 -13.10452  -12.66807
 -12.022994 -12.647712 -13.033992 -12.378766 -12.724214 -12.783432
 -11.459814 -12.292172 -11.780032 -12.66575  -11.987846 -12.685818
 -12.764176 -12.4874   -12.633096 -12.79654  -12.65908  -11.793952
 -12.71418  -11.90856  -12.68054  -13.12163  -12.798222 -12.738076
 -12.383754 -12.547372 -12.525564 -13.068038 -12.744862 -12.588958
 -11.915752 -12.079312 -12.395122 -12.66169  -12.907378 -11.823416
 -10.984098 -12.066726 -12.965436 -12.31485  -12.078848 -12.810286
 -12.814984 -12.036276 -12.693764 -13.30723  -13.032542 -12.664996
 -12.43839  -12.821422 -12.532524 -12.731986 -12.960448 -11.544204
 -12.686514 -12.811504 -12.472958 -11.581556 -12.933826 -11.588922
 -12.028272 -11.982162 -12.312356 -12.73013  -12.684716 -12.814926
 -12.312356 -12.545806 -12.827164 -12.430386 -12.318446 -11.883736
 -12.819682 -12.542268 -12.790856 -12.497956 -12.970714 -13.04768
 -12.905464 -12.804776 -12.337296 -12.752808 -12.870722 -12.967814
 -12.840968 -12.94357  -12.6904   -11.964298 -12.49117  -12.123566
 -12.670796 -12.399356 -12.129772 -12.121246 -11.081306 -12.401908
 -12.72114  -12.768004 -12.323666 -12.3627   -11.978334 -12.216192
 -12.58455  -11.390968 -12.44071  -12.246178 -12.554506 -12.7397
 -12.616798 -12.585652 -12.625962 -11.943476 -12.771774 -12.989506
 -12.334512 -12.011162 -12.32152  -12.147636 -12.392628 -12.18029
 -12.19131  -12.578286 -12.41983  -12.483514 -12.803848 -12.800716
 -12.578286 -12.51524  -12.280456 -12.581766 -11.74152  -12.48798
 -12.904652 -12.58281  -12.637794 -12.593366 -12.697998 -12.976572
 -12.89804  -12.462866 -11.700862 -13.023726 -12.888934 -12.90906
 -12.939336 -12.90935  -13.203468 -12.688196 -13.089208 -12.874434
 -12.748168 -12.578402 -12.669288 -12.834356 -12.913932 -12.996176
 -12.778328 -12.987882 -12.464084 -12.607924 -12.489082 -11.97526
 -12.002578 -12.349244 -11.59826  -13.072214 -12.133484 -11.782816
 -12.183654 -12.586522 -12.561698 -12.818406 -12.315546 -12.44883
 -12.398254 -11.945564 -12.744688 -12.611926 -11.962036 -12.505322
 -12.748864 -12.784824 -12.370356 -12.52626  -12.618132 -12.355856
 -12.735524 -12.721082 -12.72752  -12.672246 -12.353014 -12.517966
 -12.405214 -11.131244 -13.071692 -12.831804 -12.956214 -12.81597
 -12.849842 -12.791842 -12.689472 -12.668012 -12.628862 -12.989332
 -13.127662 -12.666794 -12.803732 -13.084742 -12.763364 -12.828092
 -13.074534 -12.63791  -12.513616 -12.593946 -13.178296 -13.01491
 -12.9166   -12.878204 -13.144366 -12.762146 -12.88731  -12.805646
 -12.793466 -12.674798 -12.762494 -12.442276]"
3,"[ -9.60944  -10.91038   -9.587574 -10.548402  -9.56565  -10.412508
 -12.20291  -12.349012 -12.844158 -12.804834 -12.59267  -12.391758
 -12.62718  -12.771716 -12.924546 -12.387814 -13.849472 -11.531618
 -10.85615  -10.670376  -9.32611   -9.73095  -10.560582 -10.388902
  -9.886332 -10.83498  -10.430778 -10.333222 -10.231548 -11.415212
 -10.90255  -11.313074 -12.03471  -10.29848   -7.18504   -7.296342
  -9.407426 -11.324326 -11.496586 -10.96809  -10.489706 -10.588074
 -10.766134 -10.609302 -10.456878 -10.564062 -10.267856 -11.166914
  -9.428596]"
4,"[ -9.40789  -10.835154  -8.634982  -8.156308  -8.59705   -8.299684
  -9.414444  -9.284872 -10.489822  -8.814608  -9.072128 -10.50931
 -11.233208  -9.820328 -10.106268  -9.610194 -10.059172 -10.141242
 -10.579954 -10.051458 -10.612898 -10.036088 -10.508556 -10.100178
  -9.792604  -8.592874  -9.357778 -10.145592  -9.454232  -8.23455
 -11.35843   -9.520062  -9.426566 -10.64967  -10.160034 -10.791538
  -9.704328  -9.985338 -11.32914  -10.607968 -10.556522 -10.461692
 -10.369646  -8.971788  -6.457836]"
5,[ -9.961848 -10.43652   -9.686174  -7.355734]
6,"[ -8.486444  -9.642558  -9.773116  -9.370132  -9.52853   -9.968634
  -9.199322  -8.789842  -8.86298   -8.429778 -10.210842 -10.488546
 -10.077036 -10.351724 -10.478048 -10.31414  -10.93967   -8.514516
  -9.502198  -8.130962  -8.526986  -8.729754  -7.47794   -8.613116
  -7.301562  -9.77271   -8.690604  -9.633162  -9.405048  -8.203984
  -8.58371   -9.755368  -8.19337   -8.837518  -8.924344  -9.901934
  -9.820502  -8.382566  -9.822068  -8.588756  -8.625992  -8.84848
  -9.281624  -9.134072  -9.601436  -9.355574 -10.106906  -9.135232
  -8.696056  -9.266428  -8.110372  -7.559952  -8.374794 -10.710802
 -11.287496  -8.438304 -10.304396 -10.197154  -9.402264  -9.445822
  -8.996496  -8.575996  -8.899984  -9.209356  -9.079088  -7.428118
  -8.272424  -8.786652  -8.24499   -6.787972  -8.226604  -6.133036
  -7.987702  -7.769738  -8.69072   -8.640782  -8.457386  -8.346026
  -8.848712  -7.784586  -8.840882  -8.649308  -9.030658  -9.126126
  -8.975036  -8.174926  -8.198532  -7.804886  -5.905966  -5.392144
  -5.87163   -8.094016  -9.569478  -9.400988  -7.982424  -8.814492
 -10.288562 -10.431126  -9.466702  -9.381674  -9.754614  -9.45371
 -10.14188   -9.475054  -9.20489   -9.60277  -10.1645   -10.156264
 -10.599384  -9.651954 -10.007784 -10.07837  -10.048326  -8.892444
  -9.285278  -9.607642  -9.479868  -7.908184  -9.25448   -9.241662
  -7.832842  -7.268038  -8.233332  -8.728246  -7.962994  -8.242612
  -9.139292  -9.455276  -8.89401   -7.33526   -8.34272   -9.783382
  -8.66085   -7.754194  -8.861124  -9.015288  -9.745856  -7.943448
  -7.979292  -8.817508  -7.666904  -8.474902  -9.512464 -10.435012
  -6.680034]"
7,"[ -8.214714  -8.316678  -9.303548  -9.33887   -8.800978  -7.783426
  -8.745356  -8.771978  -8.384712  -8.570486  -8.293362  -8.424152
  -9.029904  -9.375816  -9.171424  -8.342082  -7.411994  -8.326422
  -8.540616  -8.11855   -7.632684  -8.673204  -8.208392  -8.209436
  -8.246324  -7.994198  -8.040482  -8.42363   -8.840302  -8.309834
  -8.390106  -8.153408  -7.98196   -8.772036  -8.360294  -8.506106
  -8.26906   -9.354182  -7.963168  -8.15886   -8.830094  -8.25021
  -8.489808  -8.714964  -8.194182  -8.956766  -7.969954  -8.557494
  -9.745508  -8.828702  -8.719546  -8.892792  -7.657682  -8.40014
  -8.869186  -8.332628  -8.46017   -8.805328  -8.511732  -8.072266
  -8.680628  -7.949886  -8.17365   -8.530408  -7.542552  -7.67398
  -8.697854  -8.523042  -9.028396  -8.124988  -8.855208  -7.978654
  -9.050668 -10.120304  -9.508578 -10.083184 -10.303468 -10.51076
 -10.119376  -9.818298 -10.639346  -8.13392  -10.039278  -9.98528
  -8.216048  -8.210828  -8.480354  -8.347824  -8.041352  -8.485574
  -8.798252  -8.270568  -8.592294  -7.803668  -6.679222]"
8,"[ -8.80237   -7.473358  -8.380826  -8.641072  -8.532728  -8.052024
  -8.5057    -8.312444 -10.2602    -8.93229  -10.590742 -10.774486
 -10.493244 -10.161542  -9.445242 -10.234158 -11.020754 -11.270096
  -9.983134 -10.601646 -10.505656  -9.843528  -9.905994 -10.699898
 -10.57398   -9.084772  -9.210052  -9.3467    -7.357184  -9.923162
  -9.975478  -9.59175  -10.039162  -9.430162  -9.113134  -8.491084
  -8.487488  -7.379572  -8.385756  -9.20576   -9.212024  -9.44182
 -10.314778 -10.096814 -10.138864 -10.39389  -10.285894  -9.90379
  -8.50019   -7.874312  -7.410892  -8.244468  -9.819342  -7.389838
  -7.675662  -9.270662  -9.06598   -8.957926  -8.692402  -8.829514
  -9.17879  -10.171518  -9.748524  -8.669782  -8.463128  -8.141634
  -8.558422  -9.624114  -9.300126  -8.889544  -8.633532  -8.876668
  -8.863154  -8.439696  -7.649852  -6.597732  -9.415314  -9.314046
  -9.172816  -8.250384  -8.142562  -7.469704  -9.577076  -9.045564
  -9.056352  -9.682868  -7.854244  -8.164544  -9.47256   -9.279536
 -10.327422 -10.078254 -10.618176 -10.940888 -10.128482 -10.284328
 -10.28253   -9.882214  -9.932964  -9.52737  -10.47306   -8.828876
  -8.921966  -9.681244  -8.369864  -8.272888  -8.554594 -10.783128
 -11.15543  -10.840258 -10.266232  -9.988644 -10.887238 -10.114852
  -8.977936  -7.53188   -8.525826  -9.519656  -8.53296  -10.34633
  -7.848154]"
9,"[ -9.227278  -9.432076  -9.438572  -9.580904  -9.441472  -9.83796
  -8.97724   -9.062848  -9.176006  -9.06569   -9.410906  -8.942034
  -8.94853   -9.874268  -9.159708  -8.43784   -9.749452  -9.316308
  -8.105268 -10.286474 -10.536512  -9.276926  -9.926816  -8.279732
  -8.181828  -9.081408  -7.489134  -9.50417   -9.839352  -9.051596
  -8.349912  -9.09614   -9.139292  -8.859036  -8.426124  -6.055026]"
