,0
0,"[ -8.022386  -8.561264  -8.18003   -8.085896  -8.232868  -8.247658
  -8.752896  -8.08578   -9.824968 -10.101164  -9.626898  -9.036458
  -7.128664  -6.961334  -9.889116  -7.207544  -6.528016  -8.561322
  -8.05939   -8.120696  -9.224436  -9.700848  -9.694236  -9.459916
  -8.793786  -9.730602  -9.298908  -9.334346  -9.32408   -9.45487
  -9.396522  -9.310392  -9.361084  -9.417518  -9.10078   -9.315438
  -9.197988  -9.097996  -9.455044  -9.725034  -9.72022   -9.508346
  -9.059774  -9.17444   -9.478128  -9.50997   -9.225422  -9.292644
  -9.541058  -9.284988  -9.138132  -9.272692  -9.505562  -9.420824
  -9.409746  -9.149326  -8.952648  -9.117252  -9.290904  -9.139872
  -9.532822  -9.117716  -9.565534  -9.331562  -9.484682  -9.14805
  -9.394898  -9.297922  -9.384052  -9.465426  -9.17154   -9.501734
  -9.231918  -9.346526  -9.340668  -9.218868  -9.39716   -9.509506
  -9.364622  -9.319382  -9.358996  -9.127112  -9.196944  -8.757826
  -8.602096  -9.256104  -9.440776  -9.437876  -9.4598    -9.47836
  -9.331968  -9.354588  -9.480738  -9.150602  -9.135232  -9.467978
  -9.487988  -9.74574   -9.175484  -9.436078  -9.481028  -9.533518
  -8.94969   -9.017608  -9.13152   -9.075956  -9.532068  -9.39397
  -9.025612  -9.478592  -9.441182  -9.40528   -9.417634  -9.844224
  -9.79098   -9.258656  -9.483986  -9.511072  -9.495412  -9.165102
  -9.00044   -9.338406  -9.541522  -9.274838  -9.372162  -9.046782
  -9.29856   -9.365028  -9.295892  -9.19677   -9.399364  -8.89604
  -9.447156  -8.919066  -9.566984  -8.785376  -8.292956  -8.816696
  -9.556834  -9.28029   -9.32234   -8.94708   -9.143178  -9.642384
  -9.546568  -9.556776  -9.02248   -9.542972  -9.497616  -9.231686
  -9.281276  -9.300416  -9.329358  -9.486248  -9.44037   -9.4018
  -9.130534  -9.354878  -9.09643   -9.299256  -9.433584  -8.702552
 -10.596078  -9.19677   -8.888964  -8.277586  -8.25021   -8.894648
 -10.678902  -9.24723  -10.568296  -9.44298  -10.632386  -9.893988
  -9.278492 -10.123088 -10.513428 -11.770984 -10.68911  -11.69831
 -11.054336 -11.171612 -11.15891  -10.808532 -11.21575  -10.638012
 -11.362606  -8.580868  -9.408702  -9.274896  -6.899506  -7.839396
  -9.50562   -9.54535   -6.807634]"
1,[-5.50623  -5.443764]
2,"[ -6.822424  -8.382566  -8.921328  -8.777314  -9.225132  -8.895576
  -8.406752  -8.153002  -7.670964  -9.38179   -9.122936  -9.292412
  -9.58914   -8.71827   -7.88133   -8.686486  -8.255314  -8.491316
  -8.077138  -8.457444  -8.997192  -7.638484  -8.089086  -8.969294
  -8.457734  -8.137922  -9.45748   -9.3322    -9.1814    -7.978654
  -6.61751   -6.829326  -6.99944   -8.409594 -10.015962  -9.81389
  -9.497964  -9.448084  -8.19627   -8.496536  -7.93034   -7.584254
  -7.881794  -9.577714  -9.313176  -7.821474  -7.788298  -9.275186
  -8.03909   -8.483718  -8.874058  -8.212858  -8.347708  -8.21686
  -8.777024  -8.989768  -9.342698  -9.160752  -8.816174  -7.813644
  -8.251022  -8.596934  -8.267784  -9.708388 -10.482688  -9.440602
  -9.43341   -7.786674  -8.85718   -8.014498  -8.225444  -9.074274
  -9.64424   -9.469196  -8.329786  -9.487118  -9.963472 -10.158526
  -9.521106  -9.882214 -10.113112 -10.322956 -10.042526  -9.713492
  -9.394492  -9.289744  -9.28812   -8.706322  -8.385872  -9.426102
  -7.1949    -8.28936   -9.515538  -9.441762  -8.345562  -8.572574
  -5.463658]"
3,"[ -9.445068 -11.519148 -11.568854 -11.029628  -9.093646  -9.541348
  -9.213416  -8.558596  -8.399444  -8.20497   -8.78468   -8.300902
  -6.839592  -7.276622  -8.075224  -8.84326   -9.729094  -8.337558
  -7.09108 ]"
4,[-8.088912]
5,"[ -8.682542  -8.485226  -9.755194  -9.360562  -8.96593   -9.810816
 -10.265942  -8.28443   -6.427444]"
6,"[-12.253834 -11.553542 -12.592612 -13.112234 -10.384552 -10.559422
 -10.744036 -10.766772 -11.202642 -12.972628 -12.158598 -11.897308
 -11.786876 -13.166464 -12.97054  -11.585384 -11.434526 -13.310304
 -11.795402 -11.285118 -12.978544 -12.102222 -10.460184  -9.18546
  -8.817566  -9.438572  -6.580274  -7.991356  -9.154372  -8.748604
  -8.299046  -9.706822 -10.10302   -8.645944  -9.894336  -9.892712
  -8.532438  -9.691916  -9.501502  -9.828332  -9.998736  -9.284756
 -10.267856 -10.421092  -9.969446  -9.9441    -9.574466  -9.086222
  -9.42123   -9.547264  -9.989978  -9.40905   -7.975058  -5.902776]"
7,"[-6.709092 -8.21686  -5.945638 -5.328576 -5.591026 -6.49078  -8.427052
 -9.211734 -8.980488 -7.225002]"
8,"[ -5.476244  -9.009198 -10.012482  -9.962196  -9.416938  -8.13015
  -9.219854  -7.96543   -9.36468   -9.40151  -10.064856  -8.699304
  -8.919936  -9.234586  -9.553354  -9.801014  -9.665932  -9.840976
  -9.447968  -9.80548   -6.947008  -7.47069   -9.115396 -10.696186
  -9.839236  -9.645748  -9.619126  -9.807974 -10.002274  -9.287482
  -8.961406  -9.385328  -9.830362  -9.909184  -7.949654  -9.399248
  -9.281856  -9.237834  -9.302678  -8.541022  -8.61155   -8.098308
  -9.27101   -7.439892  -8.7783    -8.730044  -7.823794  -8.194588
  -8.08317   -8.742688  -7.520686  -8.501002  -7.405556  -7.162362
  -6.395486  -9.038082  -9.779844  -9.711636  -9.11267   -9.375062
 -10.056214  -9.211038  -6.48469   -8.101498  -6.88895   -9.781004
  -9.947116  -8.64896   -9.153734  -9.88755   -9.30494   -9.400756
  -9.833262  -9.954018  -9.853736  -9.91945  -10.814274 -10.362338
  -9.991892  -9.654854 -10.536048 -10.499218 -10.468246 -10.727332
 -11.040068 -10.845246 -10.778778 -10.71028  -10.896286 -10.800876
 -10.110444  -9.50214   -9.162376  -9.404062  -9.741332  -9.630552
 -10.1993    -9.736054  -9.804436  -9.534098  -9.37628   -9.536418
  -9.986846 -10.116998  -9.857854 -10.054996  -9.067198  -9.041504
 -10.338906  -8.928172  -8.049066  -8.671928  -7.442038  -7.331142
  -7.949712  -7.304868  -9.613964  -9.425058  -8.79396   -7.559082
  -9.769636  -8.93142   -9.280986  -7.211372  -6.87851   -6.610492
  -6.181176  -6.305644]"
9,[-10.12042  -10.320114  -7.085048  -5.255844]
