,0
0,"[12.290374 11.617458 11.489858 12.491576 11.645414 10.005696 10.833472
 10.19611  11.290976 10.880336  9.700326  9.828448 12.278252 10.126104
 10.16624  11.402046  9.817602 11.036472 10.454848 11.32943   9.950248
 11.343698 11.127358 11.009502 12.404344 12.044802 11.13977  11.31667
 10.525202 12.440072 10.779822 10.098786 12.171242 11.747842 10.64184
 12.037204 11.399146 11.560502 11.353674 10.652048 11.298284 11.884432
 11.936284 12.297566 11.128054  9.814992 10.074542 10.60791  10.029244
  9.152922  7.03018   6.74337   7.675546  9.383472  9.123226  9.079262
  9.401568  9.276288 11.806016 11.653186 11.387546 11.859492 11.529936
 11.226712 11.6203   10.965538 11.753816 11.229786 11.649996  9.630668
 10.51511   9.843934  8.749416  8.581738  7.74532   8.634054 10.37533
 11.021682 11.432844 10.585174  9.864756 10.232766 10.845652 11.351354
 11.519554  9.899556 11.000338 11.558008 11.561256 11.583644 11.633872
 10.886658 11.964646 11.429306 11.072606 10.952314 11.374264 11.336738
 11.206238 11.757296 11.317772 11.86796  11.842788 11.41208  10.42898
 11.367826 10.166936 11.275896 11.73021  11.717508 10.247904  9.790748
  9.54303   6.57169   6.147072]"
1,[ 9.60828  10.72304  10.362338  7.63744   6.365616  6.407782  5.788168]
2,"[14.33731  13.831956 13.580758 15.228074 15.397434 14.733218 14.289634
 14.796322 14.963652 13.658478 15.733254 15.154182 15.196638 15.142756
 14.562176 15.90041  13.62362  15.073736 14.009552 14.691226 14.48376
 12.33805  11.85955  12.461068 13.07465  12.675552 14.820508 15.05767
 15.460132 15.208702 14.625222 14.916208 15.478808 14.311036 15.011908
 15.255682 15.207832 13.634872 14.881814 14.201416 13.817978 14.635024
 14.14127  13.810032 15.231322 14.070742 14.564264 13.054988 15.47701
 14.83524  14.226646 14.264172 14.414508 15.609018 12.93052  13.01984
 11.846558 13.994588 14.409926 13.398928 12.039466 10.879988 12.175708
 12.736626 14.598368 11.9683   12.518952 12.737438 12.841722 13.124414
 15.15018  13.709402 15.547132 14.422628 14.66124  15.074664 13.642296
 13.171104 12.350868 11.550352 11.885186 14.974962 13.431872 14.243176
 14.736698 14.750212 14.386378 14.88889  14.813548 14.502378 15.264614
 15.345118 13.96234  14.763262 14.911974 15.210674 14.92137  14.503132
 13.43077  11.617458 12.542732 12.278078  9.85246   9.256046 10.073266
 10.349056  9.526732 10.177898 11.386096 10.46755   8.191862  8.231824
  9.17995   8.674828  8.842158 10.754128 10.31182   9.244156 10.336644
 11.368116 10.736554 10.262114 10.182016 11.291962 10.091594  9.585486
  9.88552   9.389156  9.512522  9.87914   9.535954  9.801942  8.922488
  9.06192   9.130186  9.369842  7.80361   9.415198  9.799332  9.929542
  9.654216 13.169712 12.801064 11.969808 13.481694 12.465534 12.807966
 12.677002 13.632668 12.621786 14.082632 13.606858 13.64595  13.696294
 13.45426  13.444748 12.37488   9.419026  7.132202  9.203034 10.967916
  8.718966  6.42959   6.999092 10.024662  8.931826  9.878502  5.482972]"
3,"[12.458226 13.119774 12.9427   12.895082 13.3342   13.534764 13.039096
 12.136442 11.428958 12.411884 12.955344 12.226574 12.647654 11.881648
 12.482586 13.119078 13.218316 13.18717  12.715108 12.713368 12.917412
 12.805878 12.97373  13.028366 13.296326 13.285306 13.10423  13.395912
 13.29708  12.66575  13.13236  13.11844  12.972338 12.488328 13.40902
 13.119484 13.349048 13.273996 13.337158 13.476358 13.304156 13.15527
 13.000004 13.155908 13.129866 13.080682 12.768584 12.869736 12.927388
 12.74753  12.825888 13.15005  13.035326 12.615116 12.548068 13.150456
 13.277534 13.036544 12.542268 13.11496  13.284726 13.329618 13.1138
 11.524426 10.44899   9.204484 10.455428 11.722148 12.092594 10.41564
 10.435882  6.870854  6.033044]"
4,"[ 9.917768  9.808206  9.052756  9.40093   9.33249   9.644008  9.63525
  9.155416  9.871194  9.024336  9.326342 10.135674  9.032572  9.598652
  9.130476  9.477258  9.239168  9.676546  9.398436  9.26608   9.586588
  8.258968  8.479368 10.10157   8.898534  9.562634  9.91539  10.602226
  9.431264  9.195378 10.26107   9.406034  9.219738 10.319766  9.795852
 10.146984 10.546256 10.064566  9.993342  8.907582  9.86841   9.620576
 10.012018 10.395978 10.280674 10.152784 10.498058 10.396616 10.62009
 10.313502 10.449918 10.297146 10.155162 10.587088  9.389214  7.107262
  7.459264  8.519446 10.126974 11.048536  9.347222  9.9702    9.38498
  9.898802 10.165196  9.987542 10.394238  9.24955   9.218578 10.197154
 10.625832 11.7682   11.711128 10.990942 10.743282 10.81584   9.898686
 10.182828  9.704212 10.082836  9.827288  9.046434  8.959666  8.68579
 10.341458  9.922582  9.973854 10.45479  10.441798  7.006284  8.304962
  9.468558 10.141358 10.562786 11.563982 11.124516 11.620764 11.975144
 11.771274 10.28775   8.48627  11.361562 10.633488 11.262498 11.52779
 10.66533  11.103636 10.266754 10.575836 10.902434  8.83833   7.120776
  8.917964  9.30668   9.800144  8.144592  6.92665   6.37188   7.938054
 10.034406  8.272018 10.223892  9.074042  9.808032 10.684528 11.475068
 11.056308 11.191158 12.752924 13.2733   12.56628  12.10953  12.539194
 12.743064 12.952734 12.947862 13.422592 13.298182 13.364476 13.236412
 12.948732 12.963696 13.119078 13.524266 13.310246 11.835886 12.357828
  9.243634  9.734604  9.71616  10.241756 10.665272 10.260606 10.334092
 10.244888 10.906958  9.377556  9.892422 10.138632 10.378346 10.033536
 10.412682  9.799854 10.566324 10.324754 10.496144 10.739976  9.952278
 10.719618 10.275628  9.904834  9.587574  9.89712  10.019558 10.671072
 10.579374 10.5357   10.159628  9.318512 10.302076 10.060274 10.901854
 10.504032 10.423238 10.32197  10.489068  9.895612 10.456124 10.411174
 10.246396  9.38672   9.528704 10.282414 10.509716 10.467376  9.822822
 10.020776  9.844108  9.108378 10.116708 10.087534 10.626006 11.005848
 10.480484 10.699028 10.533844 10.333164  9.387996  8.04286   8.261056
  9.299778  8.446018  7.860624  9.358938  9.28493  10.408738 10.03342
  9.433874 10.055982  9.907618 10.04212   9.065922  8.962102  9.796026
  8.793728  8.997308  8.137168  8.265     6.797948  7.018812  9.39223
  6.036234]"
5,"[ 7.756978 10.099076 10.413842  9.97629  10.182654  8.798484 10.040032
  9.475286  8.876436  9.833842  9.737272  9.85855  10.442436  9.507476
 10.061028  8.259142  9.418504  9.572958 11.200496 12.115736 11.328792
 10.541906 10.82338  11.740708 12.011336 11.579294 12.049616 11.75573
 11.984482 11.523672 12.099844 12.105354 11.109668 11.560212 11.96163
 10.124944  8.176608  7.323138 10.423876  9.72747  10.677394  8.776502
 10.400038  8.784448  8.173244 10.483152  9.105246 10.659646  9.034776
  9.800086  9.739418  9.50417  11.04465   9.709664 11.357328 10.287228
 10.767758 10.872854 11.489916 11.212618  7.746886  7.073158  8.089086
 10.39621   8.62431   9.672544 11.142728  9.766214  7.9431    8.701972
  8.799238 11.269226  9.566056 11.73485   9.401394 10.298306 10.200808
  9.955236 10.2428   10.144722 10.568876 10.652048 11.304722 10.166878
 10.899418 10.73406  10.33096  10.19611  10.66997  10.046122  9.033674
 10.482282 12.127394 11.4173   12.795322 12.561118 11.740534 12.484268
 12.336368 12.403358 12.27976  13.02332  12.971236 12.126292 12.325232
 12.360264  9.345772  6.379884]"
6,"[10.060912  8.982924 10.412334  8.934088  8.903638 10.351724  8.523158
  7.467094  7.931384  7.978248  5.685508  6.482196  9.010184 10.169952
 10.55832  10.637664 11.104448 10.479556 10.656862 10.135036  9.125662
  8.993422 10.37214  10.48959  10.575952 10.793974  7.960036  9.142482
 11.610324  9.335912 10.195762 10.137008 10.166008 10.635692 11.32102
 10.215018 10.71463  11.26998  11.328676 10.665272 11.491714 11.35263
 10.634648 11.050972 11.488582 10.732262 11.426406 11.160302 11.18791
 11.55302  10.086026 11.638976 10.722344  9.238936 10.238044  8.121972
  9.72689  10.936248 11.15369  10.616668 10.808126 11.297936 10.431822
 10.824598 11.317308  9.455624 10.25759  11.193768  9.472386 10.838982
 10.200286  9.720626  9.261904 10.297552  9.483232  9.62568   9.329358
 10.644682 10.97273  10.242858 10.350332  9.521338  9.483754 10.739338
 10.476308 10.577866 10.98694  10.447018 10.290766 10.47045  11.036182
 10.46639   9.817428 10.601588 10.645436 10.699144 10.411348 10.761842
 10.341632 10.548808 10.311182  9.97484   9.847704 10.48843  10.420744
 10.43797   9.776306 10.1935    9.801594 10.106558 10.752852 11.02812
 11.85259  11.510912 11.357792 11.756426 12.051762 11.394564 11.786122
 11.903456 11.628014 11.218998 11.774638 11.522744 11.67917  11.970562
 10.88863  11.502154 11.456102 11.554644 11.61102  11.561662 11.676734
 11.778988 10.479266 12.024618 11.853112 11.536664 11.256408 11.841106
 11.902006 11.90827  11.952234 11.649416 11.475822 11.650634 10.932826
 11.230424 12.123508 11.631378 11.373394 11.297066 11.486958 11.95844
 11.57709  11.2781   11.396884 11.809438 11.033572 10.909162 11.54577
 10.906784 11.268472 10.178536  8.94186   7.394478  8.257866  8.858572
 10.528276 12.097756  8.69159   6.914064  6.821554  6.12915 ]"
7,"[ 8.99435   8.527276 10.390874 10.262926 10.756564 11.700746  9.124908
 11.349266 10.999178  8.237392  9.8368    9.568666  8.8421    9.228148
  8.042454  8.953692  8.200156  8.174056  9.470936 10.40723  11.461032
 11.909604 10.703494 13.375844 12.302322 11.730036 12.332424 11.37757
 10.548344 10.047862 13.409658  9.73907  10.412856 12.915266 12.26845
 11.76124  11.857288 10.487676 10.47306   6.093306]"
8,"[ 8.604532  8.40478   7.813412  7.54899   6.236972  6.087912  6.43278
  9.876124  9.916376  8.100454  8.062406 10.488372  9.088078 10.64677
  9.070852  8.79657  11.023944  9.371118  5.495674]"
9,"[11.510158 11.788326 11.637932 11.657594 10.363788 11.740592 11.282566
 11.545248 11.151602 11.784962 11.489278 10.939206 11.221318 11.307332
 10.616726 12.897924 13.272546 12.022356 11.183676 13.039792 12.772064
  9.957904 11.169118 10.219542 10.135848  9.658508  6.448382  5.016652]"
