,0
0,"[-7.917174 -7.930804 -7.49389  -7.499806 -7.845196 -7.440124 -7.931094
 -7.843456 -7.689582 -7.846472 -7.676938 -7.941012 -7.922104 -8.118086
 -7.43386  -8.144186 -7.690104 -7.76562  -8.011656 -7.342568 -7.57625
 -7.754774 -7.923322 -7.842354 -7.406426 -7.702516 -8.007538 -7.797868
 -7.746074 -7.689292 -7.984628 -7.527356 -7.495108 -8.273468 -7.519874
 -7.82333  -7.69341  -7.847516 -7.777626 -7.74416  -8.47844  -7.578802
 -8.52977  -7.718524 -8.164254 -7.635294 -8.376244 -7.645676 -8.24847
 -7.694106 -8.573792 -8.528146 -7.538202 -8.952068 -7.403526 -7.7082
 -7.794736 -7.525384 -8.04953  -7.529792 -8.96999  -7.376556 -8.910134
 -7.247158 -8.173766 -7.35846  -6.870274 -8.136704 -7.64643  -7.74358
 -7.86103  -8.24673  -8.000346 -7.813992 -7.634018 -8.20294  -7.720612
 -7.867352 -7.39819  -7.756978 -7.531474 -7.890726 -7.545336 -7.57045
 -7.759356 -8.091348 -7.815964 -7.73343  -7.835742 -8.167096 -6.939932
 -8.056374 -7.570856 -8.06606  -7.554732 -7.809178 -7.881678 -7.468022
 -7.7488   -7.754426 -7.734474 -8.253748 -7.690916 -8.11188  -8.044426
 -7.58118  -7.708548 -8.05852  -7.830406 -7.699616 -7.797868 -7.739926
 -7.53188  -8.112228 -7.566332 -7.709418 -7.70298  -7.536578 -7.966706
 -7.881852 -7.606874 -7.581296 -7.764924 -7.937996 -7.762778 -7.980394
 -7.947798 -7.674386 -7.842644 -7.492556 -7.939968 -7.482348 -7.875124
 -7.34483  -7.760458 -7.811962 -7.86132  -7.639296 -7.781106 -7.321862
 -7.771014 -7.922104 -7.871238 -7.678562 -7.18562  -8.05765  -7.728964
 -7.670152 -7.849256 -7.796708 -7.615922 -8.146506 -7.852968 -7.946464
 -7.653854 -7.796766 -7.338218 -8.012642 -7.57364  -8.077486 -7.872166
 -7.998084 -7.909402 -8.13682  -8.027084 -7.514074 -7.691554 -7.795838
 -7.034588 -8.794482 -7.199482 -7.870542 -7.584196 -7.976566 -7.31728
 -7.92947  -7.771768 -7.684072 -7.592432 -7.537738 -8.535106 -7.62555
 -7.967518 -8.369748 -7.42197  -8.983098 -7.249536 -8.182524 -7.258642
 -8.281588 -7.611862 -8.258272 -8.024706 -8.195806 -7.875704 -7.846472
 -7.793808 -8.035552 -7.1369   -7.768926 -7.91729  -7.553398 -7.855172
 -7.835858 -7.862306 -7.858478 -7.40747  -7.597768 -7.856796 -7.723048
 -8.209262 -7.257424 -7.745784 -7.813586 -7.373076 -7.815732 -7.744392
 -7.885912 -7.677402 -8.076848 -7.277028 -8.159962 -7.457408 -9.0422
 -7.045956 -8.701682 -7.575612 -8.56863  -7.385314 -7.842992 -7.892756
 -8.248992 -7.664758 -7.839106 -7.726702 -7.918972 -7.653796 -8.189658
 -7.493368 -8.019254 -7.775828 -7.886898 -7.515756 -7.992458 -7.971926
 -7.75953  -7.888522 -7.354922 -7.995996 -8.026272 -7.823388 -9.009024
 -7.30568  -7.779018 -8.0214   -7.580252 -8.056026 -7.862074 -8.570196
 -7.61337  -8.263202 -7.204818 -8.04489  -7.772696 -7.757616 -7.897048
 -7.416692 -8.2621   -7.725252 -8.668042 -7.290078 -8.28182  -7.51912
 -7.920422 -7.764808 -7.794156 -7.680708 -7.481652 -7.961138 -7.680012
 -7.6734   -7.751526 -7.782034 -7.631698 -7.875356 -7.607106 -8.013744
 -7.947392 -7.999244 -8.098018 -7.627464 -8.108806 -7.69109  -7.925642
 -7.767882 -7.954352 -7.45329  -7.99646  -7.787776 -8.181596 -7.960326
 -8.025054 -7.757326 -7.616908 -7.282306 -7.832204 -7.572596 -7.597478
 -7.756572 -7.801174 -7.888522 -7.8851   -7.643298 -7.965256 -7.501314
 -7.894554 -7.86364  -7.81492  -7.750366 -7.7401   -8.064552 -7.603684
 -7.791604 -7.959572 -7.582746 -8.030506 -7.63802  -7.88278  -7.637556
 -7.840556 -7.710636 -7.715798 -7.876342 -7.693584 -8.119304 -8.354494
 -7.591156 -7.919842 -7.225872 -7.892466 -7.570508 -7.795374 -7.782846
 -7.880866 -7.654434 -7.770666 -8.123422 -7.69747  -8.668042 -8.655978
 -7.551252 -7.854186 -7.84827  -7.886318 -7.782092 -8.701044 -7.698804
 -7.879532 -7.75924  -7.774262 -7.721192 -7.640862 -9.168234 -7.317744
 -8.567586 -9.257322 -7.724324 -7.61743  -8.022618 -7.31438  -7.961254
 -7.685348 -8.13479  -7.787312 -8.355248 -7.809236 -7.639934 -7.581296
 -7.507926 -8.074818 -7.636396 -7.743464 -7.504272 -7.70675  -7.809874
 -8.316388 -7.291064 -7.455378 -8.032594 -7.641326 -8.280892 -7.718872
 -7.875994 -7.630596 -7.767998 -7.743928 -7.554326 -7.857956 -7.655014
 -7.932776]"
1,"[ -9.85536   -9.467862  -9.880474  -9.0596    -9.824214  -9.512986
  -9.794402  -9.364854  -9.48735   -9.163014  -9.426856  -9.694178
  -8.878872  -9.915622 -10.03574   -9.64018   -9.200714  -9.176354
 -10.027214  -9.388634  -9.744696  -8.74524  -10.725882  -8.876552
  -9.84927  -10.135616  -7.899484  -7.994662  -7.536172  -7.02583
  -8.991276  -9.148456  -9.39165   -8.120348  -8.246034  -9.12891
  -8.442886  -7.801638  -5.54538 ]"
2,"[-11.479882 -10.59341  -10.340124 -10.63575  -10.763292 -10.13144
  -9.963008 -10.226096 -10.390758  -9.982206  -9.789762  -9.027816
  -8.772094  -8.792104  -9.454986 -10.624498 -10.67374  -10.82802
  -7.571668  -8.199228  -8.062638  -9.22113   -8.80933   -8.07911
  -9.278086  -9.749858  -9.524818 -10.072918  -9.39629   -9.667904
  -9.50852   -9.985918  -9.863364  -9.4656    -9.923336 -10.587146
 -10.088404  -8.772442 -10.887528  -9.36729   -9.513044  -9.416242
 -10.305846  -8.853294  -8.664156  -6.029912  -5.515162  -6.739774
  -9.84231   -9.420244  -9.82607   -9.359054  -8.760436  -8.991972
  -9.556138  -9.228902  -8.9987    -8.302468  -8.601516  -8.93983
  -9.14196   -8.964248  -5.929746]"
3,[-8.754694 -8.510514 -8.445902 -8.676046 -9.835756 -8.43987  -5.423638]
4,"[-10.261708  -9.964284 -10.103716  -9.501966  -9.984874 -10.387104
  -9.66889  -10.063638  -9.842194  -9.151356 -10.130686  -9.593548
 -10.37533   -9.342524  -9.715    -10.62705  -11.060078 -10.965422
  -9.1698   -11.311798 -10.056852 -11.15195  -11.035544 -11.360518
  -8.58458   -9.202338  -8.389178  -8.97782  -10.100526 -10.64822
  -9.856172  -7.721598  -5.901384]"
5,"[ -7.671544  -8.677786  -9.560314  -8.99522   -9.606192  -7.899136
  -8.310008  -9.79417   -7.75344   -7.666498  -8.04199   -7.888348
  -9.894684  -9.853678 -10.909684  -8.83166   -9.730892  -8.942092
 -10.068684  -9.05496   -8.92011   -9.923858  -9.794286  -9.793764
  -9.477432  -8.054112  -7.316062  -7.237762  -5.648736]"
6,"[-10.95823  -11.889246 -11.261338 -11.073882 -11.68497  -10.396906
  -9.170786  -9.995082  -9.155126  -7.00611   -7.077102  -9.511246
  -9.873398 -10.885904 -10.998946 -10.508266 -10.192978  -9.907154
 -10.699782 -10.400154 -10.8692    -9.937836 -10.419816  -9.93714
 -10.674494 -10.698274 -10.004594 -10.261766 -10.26629   -9.740868
  -8.965002  -9.89538  -10.99477  -10.896402 -11.111582  -9.683158
 -10.088636 -10.053198 -10.090376  -9.562924 -11.073244  -9.028454
  -9.149906 -10.429676 -10.025532 -10.947964  -8.404142  -8.978052
  -9.51983   -9.71529  -10.990478  -9.50359  -10.064682 -10.591322
  -8.52252  -10.746124  -8.426588  -7.41443   -7.978016  -9.112438
  -9.40876   -8.619902  -8.456806  -8.167212  -8.765888  -8.40333
  -8.444452  -8.666476  -8.487604  -8.57791   -9.200598  -9.311088
  -8.012352  -7.58292   -7.538144  -8.819944  -9.11325   -9.086454
  -8.426936  -8.549026  -8.515792  -8.800514  -8.289592  -8.67738
  -9.8513    -8.415336  -8.470436  -8.713978  -8.771282  -8.687066
  -9.69354  -10.029476 -10.442262  -9.348208  -7.809932  -6.39305
  -6.736584  -5.77187   -7.27842   -8.250558  -8.23281   -8.32358
  -9.390664  -9.265558  -7.6763    -8.297306  -7.578164  -8.249456
  -7.908648  -9.046434  -7.647068  -8.429546 -10.190658  -8.317374
  -8.004232  -9.784542  -7.489598  -7.096706  -7.336768  -7.399524
  -8.528842 -10.734176  -7.37441   -7.118572  -6.717676  -7.698398
  -7.385662  -6.771384  -8.964596  -9.251406  -8.787     -9.036748
  -9.30204   -8.210422  -7.937358 -10.382348  -7.998548 -10.263274
  -7.378006  -7.400974  -6.134312  -6.267828  -8.692228  -7.7807
  -8.440856  -7.985962  -7.53797   -9.540942  -8.395036  -9.527196
  -9.746552  -9.052466  -9.145904 -10.10215   -8.715892  -8.752374
  -9.065864  -8.467188  -7.642196  -7.147688  -7.746596  -6.919342
  -9.276404  -9.688552  -9.518322  -8.659168  -9.295602  -8.925446
  -8.56457  -10.183118  -9.593838  -8.709222  -9.541928  -8.013802
  -7.941186  -9.57928  -10.00326  -10.05024  -10.86514  -11.160418
 -10.460358  -9.962892 -10.369704 -10.291056 -10.82193  -11.049406
 -11.215808 -10.583608 -10.262984 -11.44311  -10.015382 -10.235898
 -10.626412  -8.716182  -8.92446   -8.762118  -9.142366  -9.382138
 -11.434642  -8.948762  -8.586262 -11.328618 -10.724606  -9.400292
  -8.998874 -10.019384 -11.446822  -8.94273   -9.30552   -9.866148
 -10.00732  -10.290882 -10.293666  -9.519018  -9.861972  -9.820154
  -9.90901   -9.351978 -10.530538 -11.06872  -10.47045   -8.889022
  -8.887688  -8.904334  -8.723084 -10.208348  -9.78663   -9.261208
  -9.592504 -10.701754  -9.79475  -10.70738   -9.809598 -10.346852
 -10.759928 -10.444234 -10.669564  -9.873862  -9.662104  -9.80084
  -9.328894  -9.941954  -9.724802  -8.988434 -10.912874  -9.472096
  -9.497906  -9.36265   -9.277564  -9.594592  -9.334172  -9.787616
  -9.496456  -9.570812  -9.359634  -9.182328  -9.535548 -10.500262
  -9.076884  -9.500342  -9.276114  -9.328952  -9.689596  -9.378774
  -9.374424  -9.514436  -9.266486  -9.223276  -9.432076  -9.662684
  -9.395304  -9.61698   -9.34409   -9.912838  -9.488742 -10.051458
  -9.229018 -10.252196  -9.573306  -9.031644  -9.225654  -9.503532
  -9.593142  -9.483464  -9.48677  -10.252776  -8.793786  -9.857564
  -9.304708  -9.630494 -10.454326  -8.693446  -9.315496  -8.446308
  -9.200076  -9.772826  -8.816638 -10.177028  -9.374656 -10.282066
  -9.773522  -9.774392  -9.597956  -9.553934  -9.005428  -9.232788
  -9.631654  -9.427842  -9.47198   -9.226814  -9.416764  -9.622084
  -9.777756  -9.202512  -9.565766  -9.652766  -9.268342  -9.489728
  -9.438282  -9.105014  -8.911062  -9.81824   -9.390316  -9.37338
  -9.817138  -9.007574  -9.894742 -10.296392  -8.731146  -9.328256
  -9.591692  -9.555326  -9.351746  -9.661756  -9.106174  -9.94236
  -9.096024  -9.810004  -9.572958  -9.396522 -10.62966   -8.978168
  -9.84318   -9.165392  -9.41137   -9.45458   -9.697658  -9.453478
  -9.353312  -9.45371   -9.673704  -9.36671   -9.428712  -9.245954
  -9.69296   -9.750148  -9.227858 -10.11491   -9.146774  -9.475112
  -9.655202  -9.10339   -8.84384   -9.325472  -9.427494  -9.49779
  -9.512     -9.45603   -9.778626  -9.07294   -9.381268  -9.725382
  -9.216838  -9.868004  -9.146136  -9.841614  -9.186156  -9.406788
  -9.62307   -9.314684  -9.669296  -9.619242  -9.190332  -9.306216
  -8.845522 -10.472016  -9.119688  -9.604394  -9.257612  -9.36787
  -9.467572  -9.384516  -9.481318  -9.464498  -8.94592   -9.638092
  -9.872992  -8.652382  -9.909242  -9.229424]"
7,"[ -7.607164  -7.924714  -8.708468  -8.133746  -8.227242  -8.49439
  -8.22295   -7.768462  -8.2795    -7.806394  -8.477222  -8.708932
  -7.504214  -7.581238  -8.42827   -7.11138   -8.20236   -8.264478
 -10.17958   -5.33687 ]"
8,"[ -8.297654  -6.78339   -7.814746 -10.026924  -9.35888  -10.802094
 -10.355204  -9.629914 -10.015614  -9.93337  -10.067408 -10.69085
 -10.6227   -10.290998 -10.747748 -10.61458  -10.612202 -10.278296
 -10.748386 -10.497362 -10.776922 -10.67519  -10.828484 -10.51018
 -10.427182 -10.501886 -10.41651   -9.437992 -11.066052 -10.250514
 -10.706336 -10.935146 -10.058708 -10.715384 -10.980038 -10.754998
 -10.045368 -10.695258 -10.808764 -10.641202 -10.484486 -10.775878
 -10.435418 -10.269828 -10.650134 -10.783128 -10.60443  -10.36489
 -10.555014 -10.558146  -9.951814 -10.270988 -10.781156 -10.017702
 -10.175114  -9.779496 -10.181784 -10.08417   -9.75096   -9.447968
  -8.92359   -7.883476  -9.781236  -9.884418  -9.972752 -10.0021
  -9.904312 -11.197248  -9.55434   -9.559154  -9.780482  -9.518902
  -9.622838 -10.029302  -9.850024  -9.803624 -10.262288 -10.351434
 -10.410014 -10.673218 -10.621772 -10.74566  -10.310602 -10.60443
 -10.94663  -10.571312 -10.316692 -10.503336 -10.597122 -10.647698
 -10.46784  -10.110734 -10.941526 -10.670956 -10.875    -10.492258
 -10.85035   -9.770332 -10.567658 -10.314894  -8.977066 -10.435476
 -10.43942  -10.61371  -10.736206 -10.097046  -9.465658 -10.374808
 -10.23671  -10.39534  -10.448352 -10.547126 -10.400908 -11.021392
 -10.775936 -10.633198 -10.531292 -11.198118 -10.495912 -10.618872
 -10.804356 -10.44638  -10.910496  -9.85942  -10.740788 -10.311008
 -10.49046  -10.7938   -10.620438 -10.629718 -10.661502 -10.586856
 -10.691662 -10.766424 -10.702914 -10.827382 -10.69694  -10.74972
  -9.427552  -9.917536 -11.016868 -10.292854 -10.678438 -10.358626
 -10.723852 -10.67403  -10.787362 -10.564816 -10.316866 -10.489068
  -9.819864 -10.729362 -10.770252 -10.26716  -10.714572 -10.703436
 -10.676002 -11.049406  -9.846428 -10.44783  -10.067002 -10.300452
 -10.620148 -10.706974 -10.635866 -10.700884 -10.54585  -10.616494
 -10.341226 -11.080494 -10.405838 -10.54121  -10.819494 -10.404678
 -11.111002 -10.32545  -10.70216  -10.46407  -10.506294 -10.422658
 -10.544574 -10.481528 -10.617016 -10.660806 -10.736032 -10.52584
 -10.41796  -10.085794 -10.366166 -10.559132 -10.747052 -10.724432
 -10.525434 -10.202258 -10.448758 -10.720778 -10.257358 -10.537556
 -10.110154  -9.831    -10.508672 -10.762422  -9.986556 -10.94634
 -10.474394 -10.523288 -10.77205  -10.59776  -10.337398 -10.58007
 -10.89907  -10.4313   -10.549098  -9.927628 -10.465752 -10.531582
 -10.904754 -10.35706  -10.571544 -10.880452 -10.69839  -10.767062
 -10.739396 -10.546894 -10.752678  -9.703806 -10.13028   -9.561938
 -10.511746 -10.488894 -10.101918 -10.744558 -10.289026 -10.74073
 -10.51018  -10.35851  -10.574734 -10.49742  -10.033884  -9.94816
 -10.467608 -10.475496 -10.668462 -10.197966 -10.749372 -10.33531
 -10.909452 -10.290418 -10.003956 -10.931318 -10.817522 -10.215772
 -10.68157   -9.934298 -10.530944 -10.99564  -10.4922   -10.68476
 -10.28833  -10.469754 -10.530248 -10.3704    -9.695454  -9.769346
 -10.280906 -11.196958  -9.336898 -10.173316 -10.410478 -10.329742
 -10.392266 -10.867692 -10.660516 -10.819378 -10.035566 -10.654426
 -10.30863  -10.7764   -10.774718 -10.424746 -10.653324 -10.51859
 -10.621076 -10.286938 -10.474568 -10.504496 -10.847392 -10.674842
 -10.62995  -10.767004 -10.34546  -10.593294 -10.52526  -10.537788
 -10.64474  -10.589234 -10.500378 -10.666374 -10.315358 -10.401604
 -10.822452 -10.668462 -10.807024 -10.698042 -10.573806 -10.6778
 -10.410478 -10.60153  -10.935262 -11.01217  -10.499392 -10.661386
 -10.709352 -10.589582 -10.740904 -10.758594 -10.548228 -10.264434
 -10.575546 -10.168096 -10.434432 -10.419526 -10.5386    -9.93192
 -10.027098 -10.804472 -10.733364 -10.68302  -10.959854 -10.665794
 -10.71695   -9.998446 -10.809054 -10.568992 -10.489242 -10.626412
 -10.980328 -10.513312 -10.641956 -10.230852 -10.028838 -10.28949
 -10.509658 -10.847044 -10.423934 -10.66997  -10.262288 -10.53164
 -10.347548  -9.548656 -10.924474 -10.607736 -10.279688 -10.690676
 -10.352884 -10.21728   -9.622142 -10.177492  -8.288954  -9.907734
 -10.805458  -9.47778  -10.683542 -10.776458 -10.771934 -10.706742
 -10.860848 -10.621018 -10.694504 -10.789508 -10.871114 -10.406244
 -10.761088 -10.49017  -10.554144 -10.525608 -10.675422 -10.853888
 -10.52816  -10.200228  -9.756586 -10.815434 -10.496666 -10.209914
 -10.692648 -10.535468 -10.067814 -10.46581  -10.598688 -10.850872
 -10.52613  -10.610056 -10.490982 -10.431996 -10.897562 -10.46059
 -10.552288 -10.93503  -10.358104 -10.474162]"
9,"[ -8.609172  -9.28522   -8.987506  -7.677634  -8.52107   -8.209552
  -9.586414  -9.615994  -8.39028  -10.089854 -10.471436  -9.530328
  -7.420462]"
