,0
0,"[-43.90615619 -43.32121316 -43.50734878 -45.53329592 -48.28900139
  47.15184887  44.22139695  39.56168127  34.15285331  30.80082348
  25.36375304  20.23117188  21.18984731  22.47860677  25.88437578]"
1,"[-38.71216724 -38.70343953 -42.05875451 -44.52279357 -45.19465088
 -45.32297767 -45.00860352 -43.86016409 -44.26404142 -44.23372978
 -43.30988675 -45.05193808 -46.1690362  -44.08190682 -42.2112247
 -41.25748189 -38.5428104  -35.60137529 -32.63620866 -34.36419759
 -34.4963881  -31.51739442 -27.38006663 -28.07053653 -27.53216417
 -27.82302253 -26.50013673 -26.45296786 -25.38602958 -27.20060918
 -27.54893315 -26.18711587 -22.80243067]"
2,"[-41.66274193 -41.26933785 -42.72785622 -44.25894208 -44.95930665
 -45.28656644 -45.01335963 -45.66385857 -45.45955165 -46.36667475
 -46.29422493 -46.69321866 -46.72537391 -46.24922328 -46.42536616
 -44.74853731 -45.23219966 -45.18592317 -44.17412637 -43.02727558
 -42.18517885 -43.2784964  -45.42169888 -44.65621969 -44.09385103
 -45.32468399 -43.56833489 -44.56555936 -44.44264571 -43.53863125
 -43.64755114 -45.12224029 -45.64870765 -44.8978008  -46.22785509
 -43.43931185 -41.54473149 -37.54422285 -38.00688965 -38.01512704
 -38.73962521 -38.80758369 -37.95246403 -38.6780409  -39.38265166
 -40.02349127 -40.54018163 -40.92763321 -41.42686815 -44.11445432
 -47.64068536  48.32263712  47.76465193  47.55754038 -46.26021627
 -42.05294911 -37.30386754 -35.90645296 -33.61165307 -31.38314456
 -28.74776776 -28.47161903 -28.81798171 -28.68490862 -27.95540918
 -27.31191202 -26.37079008 -27.16854219 -27.74761118 -27.9835536
 -28.54722651 -28.25479912 -30.5844118  -30.83045483 -30.56018995
 -28.59390506 -27.25670189 -28.50623568 -27.38153759 -28.17624971
 -30.25030714 -28.54497103 -29.72889989 -30.07075162 -29.17415082
 -25.75690831 -21.18339104 -20.59637885 -18.43857462 -17.98895035
 -19.07452083 -16.98683249 -19.31546452 -19.54444439 -19.81725894
 -18.28402547 -17.11882687 -15.51028012 -17.32858616 -19.08177758]"
3,"[-45.36050683 -46.14261771 -46.30501199 -46.82952787 -46.27745595
 -45.86257582 -46.7817412  -46.62939849 -44.98155742 -45.12384854
 -45.66624153 -43.86336098 -43.69803458 -44.63280196 -45.3008642
 -44.65571956]"
4,"[-48.71059891 -48.83083344 -48.93175031 -47.79748998 -47.83254793
 -47.74075985 -49.00285537  48.83698375 -48.11433143 -48.02531269
  48.89837193 -48.75775896 -48.96229828 -48.69197162 -46.68420656
 -48.61443522 -48.60352558 -48.68886397 -47.77594528 -47.62747611
 -48.01082861 -47.50941665 -48.5879471  -48.87073086 -48.99219952
 -48.91406836 -48.95025404 -48.72143697 -48.33347251 -47.92279639
 -47.47071071  48.78491167 -48.13101215 -45.94386122  48.48444302
 -47.63626266 -47.92452232 -48.16592201 -48.92350409 -48.79448694
 -47.3725975  -47.8158574  -48.92498977  48.74313633 -48.65739419
 -48.59563925  48.98192261 -48.66097942 -48.55045422 -46.8165834
  48.8390431  -49.066594   -47.35981974 -47.54625936 -47.38197244
 -48.98358125 -48.28713523 -47.41181337 -47.6057647  -48.32709246
 -47.86789026 -48.18119355 -48.5163171   48.98104003 -47.99656027
 -47.01832103 -49.17689507 -48.46898446 -48.39393791 -47.41515735
 -48.70182315 -48.69419376  48.59505942  48.90925705 -48.5714527
 -48.48531313 -48.32493799 -47.31681859 -48.56116087 -48.94851536
 -48.30597237 -47.25826447 -47.81718127 -47.51633017 -48.25463774
 -47.97967362 -47.59966511  48.9967303  -48.73057164 -48.8863868
 -48.47257753 -48.82209887 -48.4434711  -48.06540133 -49.01108061
 -48.73263099 -48.02680326 -47.49700172 -47.04941719 -47.49908068
 -47.31414144 -47.90384059 -45.83295064 -44.13486147 -43.09368465
 -42.91577661 -42.78255642 -44.196789   -42.72667945 -42.63054713
 -39.61651512 -38.78061604 -38.22939728 -38.0839681  -38.7662006
 -38.49358218 -38.47544031 -38.18448388 -37.84047474 -38.50250602
 -39.59491158 -41.63986355 -45.10901143 -49.05904171 -48.91864599
  48.95309174  48.95691624  48.9285757   49.09793254 -48.2911637
 -47.54589652 -47.83752959 -47.54126789 -47.74691828 -46.9050471
 -47.64700069  48.61996772 -47.05751729 -48.36258581 -48.24640034
 -48.80310482  48.92641828 -48.68223385 -47.81876991 -47.69868051
 -48.28559562 -47.31032675 -48.06120418 -47.94230136 -48.99405794
 -49.02575385 -47.60959901 -48.89780932 -48.67726984 -48.13803256
 -47.7469379  -47.94758702 -48.78648196 -48.89649134 -48.00009058
 -49.03207507 -48.72580376 -47.56367556  48.85679272 -48.8455215
 -48.60629295 -47.83926532 -48.29153831 -48.05582045 -49.05253321
 -48.67880749 -48.33476598 -47.4005556  -47.54437653 -47.83428366
 -48.43217901 -48.53058936 -48.46350562 -47.98008549 -48.32353959
 -47.7903411  -48.75430612 -47.04305282  48.47453854 -48.28592119
 -47.06164579 -47.49379502 -47.13532141 -47.47798708 -47.41092098
 -48.27962841 -47.81025794 -45.01058441 -42.11456283]"
5,"[-35.6722757  -34.34164283 -34.02862196 -34.37478852 -33.48093351
 -31.83218044 -32.80370228 -33.19939125 -33.65117293 -33.76002417
 -32.9435418  -34.2636818  -33.29676898 -35.20127344 -36.99270989
 -38.70608726 -41.24781276 -43.60479516 -45.31640737 -47.58979005
 -48.97567179 -48.89325522 -47.56842186 -48.04455288 -47.38224702
 -46.7667668  -44.80919981 -42.38890718 -41.07668096 -42.57925957
 -42.05578316 -41.38067992 -42.43715476 -42.49675817 -41.22316923
 -42.79495173 -42.95721853 -43.63294938 -42.64512928 -41.82571479
 -44.31186732 -42.36584249 -41.50215202 -45.85218102 -44.6993287
 -41.14022655 -47.0193311   47.09889421  45.90202088  47.9065508
  48.66017403  47.55901135  47.09134327  47.19372227  46.5549322
  47.65884068  48.2972385  -48.81659452  48.39755816  48.01246012
  48.3276384   48.87787651  48.30979072  48.48307012 -48.59006038
  47.68796574  45.92938079  42.81917723  43.65036923  44.4482194
  41.84863603  40.90545474  40.2063552   38.78668005  39.87705568
  40.3522747   40.51084448  41.92767576  45.22998705  45.43396055
  39.02173989  38.57476335  41.3134998   42.01691417  42.76700709
  45.87093454 -45.59512538 -40.82073345 -39.76438609 -40.06245217
 -37.56265891 -34.50815581 -31.15808726 -27.74614022 -26.92397012
 -28.78562053 -30.04976589 -30.31689272 -32.32867939 -30.98569043
 -31.82031467 -29.84814593 -30.67002183 -30.63334583 -30.61638073
 -30.31826562 -30.92175258 -33.15575269 -34.71742477 -35.50811626
 -36.35823464 -38.54084912 -38.63224493 -37.59247042 -40.05538174
 -40.64940552 -43.37045118 -42.04257392 -41.83488379 -42.35829155
 -41.98297051 -42.35891916 -43.20429124 -43.35082854 -42.56201008
 -41.83690391 -41.58578116 -41.80104184 -40.07658322 -37.80428905
 -39.53723022 -39.78743118 -39.93956795 -42.14154029 -42.02774661
 -39.38468159 -39.01175331 -40.08889027 -42.33149061 -42.60245174
 -41.8269504  -41.2252482  -42.44957949 -42.941744   -41.33345221
 -43.07095337 -41.64157968 -41.69864322 -42.92319026 -43.88622955
 -42.07094388 -45.91542261 -48.00407199 -47.1667902  -45.44798008
 -41.83828662 -42.90867676 -43.17472489 -42.40976544 -42.45724811
 -43.73821147 -44.70862519 -45.27676983 -48.22491448  47.99196471
  47.27158523  45.92820402  45.40718903  45.39140069  42.99235857
  45.59400129  46.55591284  48.27733147  47.26942782  45.70971702
  44.31779404  44.01016671  42.91194594  42.65560618  43.28684531
  43.075517    42.86879771  43.34735091  42.97853152  43.54534249
  45.79836704  48.65625147  48.56122728  47.63932591  46.35439095
  45.80434896  45.86416811  45.57330975  45.17752271  45.31824481
  46.1355117   47.00249712  47.3861242   44.67680701  44.61326142
  43.63163897  45.78905095  47.77200675  47.75366875  46.83304222
  45.59625677  45.32658027 -48.89507333 -48.56328788  48.69047587
  48.13131391  48.25154059  46.93689218  48.31155587 -48.22813197
 -48.91747413 -48.3015232   48.85689078  48.17671762 -48.883945
  47.46457554  44.45881033  41.82284515  43.45571183  45.27058562
 -48.62002193  48.54122218  48.31645908 -48.88533261  47.96009385
  48.79256068  47.02338479  43.45502538  45.13202093 -48.04897557
 -43.83947255 -44.06488287 -43.16524208 -43.02153883 -44.11414051
 -44.54719193 -44.4783803  -43.72368817 -41.11362174 -42.71549033
 -43.26834676 -43.92809315 -44.59456674 -45.26639464 -43.9903639
 -44.37689368 -44.81353425 -44.09559658 -44.47698779 -43.23035669
 -43.26231581 -44.65780833 -44.99529621]"
6,"[-33.2011564  -32.90068775 -33.61390854 -37.94000988 -42.95489441
 -46.71714632 -46.72526604 -45.48001765 -43.53878816 -43.45689476
 -43.81095548 -42.62269219 -44.49843442 -44.76750292 -42.86079202
 -44.28218329 -44.04928086 -43.65880891 -40.60667896 -38.36041102
 -38.33658143 -37.87009012 -40.26701405 -44.08248539 -43.97524241
 -43.10958085 -44.34952397 -44.54731942 -45.24041744 -44.39446678
 -43.03197286 -43.93632073 -45.12157345 -42.59939214 -43.3635965
 -44.9884023  -45.43311355 -45.64115671 -44.64239264 -44.94957869
 -45.41990431 -46.43275039 -46.34189393 -45.09572374 -48.13950058
 -47.93754525 -47.52051751 -44.2909012  -41.37403117 -41.9554537
 -42.38715184 -43.24848876 -41.56612909 -42.33329499 -42.51639062
 -41.76402261 -43.80259061 -45.21034115 -45.17029174 -44.73921141
 -44.86825406 -45.26655154 -45.22255995 -45.47117226 -45.1690071
 -45.37476536 -44.72241301 -43.09760721 -41.19626042 -42.65629879
 -44.49325664 -45.11949449 -45.69724942 -44.56233304 -41.60430548
 -40.75409884 -42.78483151 -43.96526928 -44.4826657  -44.92303271
 -46.42546422 -47.536551   -47.85681881  48.04384066 -48.50501226
 -47.12061178 -46.31953529 -47.37263673  48.4365877   45.92810596
  45.77228197  44.36025583  46.51335299  48.15112287 -48.87013168
  46.97092045  47.15518305  47.40328543  46.24799131  45.11162359
  47.01701062  47.94930679  47.46114329  45.5895884   42.8466352
  38.91563445  35.2370509   30.96488486  30.64990271  29.65004032
  27.16274044  28.97006329  31.51051396  30.04916154  28.3948188
  30.49545162  29.50529759  27.84516907  28.35873119  27.92097268
  24.20237895  23.6847962   23.81002416  26.4709957   24.4354775
  24.6117969   26.06981514  26.05167327  23.68881683  24.77311248
  24.37585448  22.57549419  24.00262221  25.4575024   25.03033482
  24.58904601  24.77909439  23.52357869  24.30142377  24.53177653
  23.60369712  25.67236102  25.38503297  24.91824747  23.81316221
  22.67081257  20.65010206  21.36185188  21.562197    23.52220579
  24.14314818  24.48450959  21.58406532  22.50076928  24.66033867
  23.8424834   25.62725149  25.25450954  28.2018285   29.25670489
  30.7936648   31.04814135  30.84426591  31.10354761  30.99371573
  31.26711866  31.48080051  31.37891183  32.74043491  31.82265225
  32.54744461  31.6678089   32.1296912   31.71056489  30.47495621
  29.93432838  30.96253132  30.53026441  29.92344326  28.76736463
  29.70897689  31.59073046  31.52434101  29.36408517  29.28936026
  31.58749434  31.86030889  31.47815278  31.84432443  31.2262259
  32.32062216  31.18170476  32.62736691  30.82700662  32.17940974
  31.98112396  31.29643985  31.21082982  32.30336286  31.24907485
  30.89104253  32.45997136  30.54222824  32.1992187   31.61259877
  30.79386093  30.71668441  31.55866347  30.62381764  29.63837068
  31.76636341  31.83991154  32.36926199  31.706152    32.10694031
  32.34837432  30.89310188  31.81000197  31.68683336  31.37410668
  32.28747646  32.81045274  31.39038534  31.78068078  31.37391055
  32.20529868  30.06583245  30.02199776  31.39470016  33.46228535
  30.74012175  32.68198866  32.14096858  30.99587314  31.20455371
  32.03427475  32.14489114  31.38155956  27.35729977  23.55652825
  23.74412503  22.55568522  23.28351757  24.47568382  22.51263505
  23.23821192  22.86841189  24.06803102  23.72490445  20.44534405
  17.92489847  16.76744695  15.2229361   16.74606895  17.06428722
  16.15278066  14.94247254  17.29660127  19.41429725  18.86964879
  19.34996715  23.59408683  25.55458593  26.55905734  26.37302959
  26.4581493   26.32772394  25.16223115  26.26408028  30.52722442
  32.52204598  33.60085004  35.60351674  37.69228379  38.38226337
  38.31057845  37.83045622  33.96564879  30.4147448   29.13059435
  29.82390811  29.22238243  30.09201558  30.53399085  29.94501738
  30.59518289  29.54746519  30.30481486  29.7179988   30.48358586
  29.60826498  29.89255304  30.42435509  29.96923923  28.96064913
  28.22389294  26.44343967  26.24397713  25.75600976  25.19890715
  24.45597292  24.65690642  25.40160581  25.41268707  23.56427532
  24.61444463  25.25186181  24.80704268  25.20008392  24.7010353
  23.76932752  23.59055652  22.98540246  24.20237895  24.73712292
  24.5356991   23.67175366  24.63386134  24.28916575  24.3462391
  24.734181    25.39984066  24.70839012  25.74110401  24.21306794
  24.74496806  24.62150525  25.47221202  24.4078234   23.95280561
  22.95961158  23.74275213  25.4229838   25.79160706  23.92907407
  25.58714324  25.25431341  25.20390842  25.07740563  24.30730762
  24.38536671  25.43269216  27.60069507  27.34827787  27.89469148
  27.3128767   27.3730881   27.25943172  25.70315317  27.80270728
  27.81192531  27.08625038  27.18627584  28.1254365   26.017645
  26.93130897  27.31876055  26.40617528  27.6493349   26.91306903
  28.10366625  26.49698271  27.89469148  28.60889291  26.55189865
  27.47801678  26.06491193  27.1863739   26.93836959  29.50029632
  27.87792251  27.49635478  27.37946228  27.08978069  28.41884453
  28.08836824  24.6619077   26.63368418  26.7803882   27.58912349
  27.43594724  26.98769587  26.39009276  26.96739659  28.4372806
  28.55132924  26.93523154  27.05065308  28.8380689   28.63360509
  28.81443543  27.75710744  26.06648096  25.67285134  27.51753664
  26.17484188  27.42927888  29.54981873  28.44728314  27.17715587]"
7,"[-4.49154131e+01 -4.44658477e+01 -4.33500734e+01 -4.34174337e+01
 -4.46094235e+01 -4.43392665e+01 -4.43820224e+01 -4.73145337e+01
 -4.86451842e+01  4.70447628e+01  4.69941617e+01 -4.88392042e+01
 -4.86453166e+01 -4.84621592e+01 -4.90127539e+01  4.82535999e+01
  4.71966642e+01  4.75114502e+01  4.86906720e+01  4.79003728e+01
 -4.90725038e+01  4.78611471e+01 -4.89573411e+01  4.66085733e+01
  4.69128665e+01 -4.89961160e+01 -4.82397428e+01  4.86995958e+01
 -4.79451256e+01 -4.70385909e+01  4.83710808e+01  4.86997920e+01
  4.84317826e+01  4.77368998e+01  4.77808325e+01  4.80857141e+01
  4.80028498e+01  4.81711280e+01 -4.64705051e+01 -4.44567179e+01
 -4.54146088e+01 -4.26000198e+01 -4.03343253e+01 -3.61711282e+01
 -3.04808560e+01 -2.64892516e+01 -2.39350720e+01 -2.17735413e+01
 -2.02518794e+01 -1.85644890e+01 -1.78734307e+01 -1.64553246e+01
 -1.52097134e+01 -1.67440256e+01 -1.54509513e+01 -1.65569191e+01
 -1.44455973e+01 -1.12400754e+01 -7.93060539e+00 -3.62411688e+00
 -1.00866994e-01  1.82825157e+00  1.46992506e+00  7.02278647e-01
  1.47529576e-01  2.05674111e+00  1.61427553e+00  1.15700225e+00
  1.59574140e+00  1.25398773e+00  1.28370118e+00  1.13003460e+00
  1.41422460e+00  9.63129368e-01  9.93725393e-01  1.78059238e+00
  1.56720472e+00  3.15653090e+00  3.74266051e+00  3.46739435e+00
  2.10714610e+00  9.47733292e-01  1.46227605e+00  2.02712573e+00
  1.70645586e+00  2.32249504e+00  1.49473529e+00  1.78490720e+00
  1.95602920e+00  2.26228364e+00  1.54229642e+00  1.09261723e-02
  1.63810513e+00  1.81599355e+00  1.13542813e+00]"
8,"[-48.57388273  45.28343203  38.94760337  38.23693225  39.74241356
  40.78562031  40.42748992  40.98694607  40.50044967  39.21727987
  37.10311419  36.11688273  34.33280108  36.6097533   41.0345072
  45.82935533  46.72801548  44.27454774  47.49154319  47.87026706
  47.70777471  46.27515509  46.15502647  46.34291744  47.00965581
  47.09909034  46.8716795  -48.55823758  48.48356044  48.51778484
  48.00687046  47.1033071   46.4903079   47.09634454  47.53753529
  48.4051091   46.85432214  46.7167381   47.08585167 -48.86296908
  48.29419851  47.79289442  47.78906992  47.92753654  48.66360628
 -48.87375025  47.62755821  43.92318378  43.82335444  45.576742
  44.5363791   42.84173199  42.90037437  43.49140719  44.38996928
  46.98082494  48.8207051  -46.43947759 -44.49224657 -43.63304745
 -43.11081646 -41.63246951 -42.23253404 -45.17899003 -48.10949294
  47.45712266  46.94512957  47.39848028  46.82794288  47.35386108
  46.19336956  45.38286911  46.52698391  47.16194948  47.10046324
  48.08963663  47.62775434  48.6049639   47.9988292   44.69945983
  42.94371874  43.97672682  46.01234309  47.5596978  -48.61475294
 -46.59091811 -48.20524869 -45.64917836 -43.32414528 -42.33272622
 -42.89105463 -43.80510105 -43.10637415 -41.64972881 -42.35253518
 -42.46514228 -41.12772337 -42.90222414 -41.48659904 -42.39632084
 -41.52780561 -41.60541361 -42.32042897 -42.54697684 -41.94571593
 -41.28047794 -42.53937686 -41.18824858 -42.02697191 -41.79835488
 -41.85179005 -41.55662668 -41.05590116 -42.59189023 -41.92456348
 -41.66479147 -42.91407029 -41.8737074  -42.19873132 -41.67899116
 -42.57467016 -43.50288686 -43.78368384 -42.16321247 -40.26864192
 -38.05317594 -35.20284246 -30.63903355 -32.58168497 -34.37341562
 -36.88248575 -38.50633052 -37.40202978 -33.73854812 -28.72678202
 -28.09436612 -28.90594528 -30.59166855 -31.82511982 -29.93159855
 -32.11440915 -29.27241113 -28.48809381 -29.88550839 -27.87097592
 -28.09367967 -30.07487032 -32.32416843 -31.1445544  -29.00675526
 -30.5148843  -33.65627227 -36.60045317 -39.34086651]"
9,"[-40.06336417 -39.19689849 -36.18407266 -33.65597807 -34.53904602
 -33.89564693 -34.11148619 -36.31861671 -39.41069801 -38.55408778
 -38.43954882 -38.97144893 -39.08412468 -39.61307306 -38.0338573
 -38.04121211 -37.92020091 -39.69648645 -39.39008492 -38.88789825
 -42.39056447 -42.14330544 -42.50364228 -42.78854814 -44.04218102
 -42.04756538 -42.22346311 -41.58880153 -42.39746819 -42.20530162
 -42.75876605 -44.91834525 -44.52594143 -40.87550229 -37.8931352
 -36.42864472 -38.15251496 -38.5638942  -40.54385904 -39.38786867
 -38.70294921 -39.14080577 -39.84322969 -39.68976906 -41.69089615
 -41.31834052 -44.24920431 -45.98196896 -47.71542988  45.5753691
  43.99643772  42.99922307  41.67339534  40.83043564  36.81392292
  32.99059664  28.95378464  27.33435275  26.11315951  27.66973225
  27.14861919  26.70772264  25.78121226  27.05192791  27.83016525
  26.9287593   27.64266654  30.22616738  30.29912713  31.34115712
  29.91638263  29.00418962  27.64247041  26.29477437  25.2075368
  26.22318752  29.99503011  32.28188681  29.25415522  30.00336556
  31.13610492  30.0689705   29.16619165  29.58561215  29.64582356
  29.93560321  29.45567711  29.65239386  29.59365342  29.8625454
  29.8044914   29.72858973  30.21008486  29.23385594  29.7574206
  29.6402339   29.38909153  29.50843564  29.34633555  29.37379352
  29.56501867  29.84126547  29.67210476  29.54520971  28.98555743
  28.85964302  29.77026701  29.17795935  29.29053703  30.06416536
  29.16187683  29.68985438  29.51990915  29.86323185  29.3380001
  29.7231962   29.6374881   29.54864196  29.81341525  29.42390432
  29.74192646  29.72819747  29.75104643  30.1412438   29.20865344
  29.98502756  31.1602287   31.13512427  30.56625396  30.5962616
  30.65186399  30.99803055  30.24097507  31.5325784   33.49268525
  34.78477889  33.68410653  32.1414589   32.62511144  33.01403398
  33.27812082  31.74331832  29.17599807  27.30807155]"
