,0
0,[6.98378  7.383922 5.06021 ]
1,"[12.068872 10.405954  7.216882  5.7362    5.793156  7.028034 10.429386
 10.547184  9.13935   9.905414 10.005812 10.25701   9.765054  9.76575
  9.72718   9.642442  9.157794  9.662684 10.269596  9.646212  9.917942
  9.90089   9.185808  9.281334  9.366362  9.357314 10.648916 10.36634
 10.169952  9.365724  9.635366 10.024256 10.35242  10.774834  9.888362
 10.044382  9.698412  9.258888  8.967032  9.447156 10.202548  9.991254
  9.834248  9.877574 10.10447  10.956432 11.418924  9.528646  9.80287
  9.883432 10.225748 11.01768  11.820284 10.936132 10.755578 11.683926
 10.9968   11.19748   9.446924 10.01312  11.322354  9.357314 11.422984
 10.878538 10.450382 11.414052 11.208732 12.11533  11.608816 11.73717
 11.92625  11.47298  11.430988 10.974586 10.059404  9.350934 10.519866
 11.785716 11.657304 10.792408 12.197922 10.328408 10.952662 10.845536
  9.76401  10.884918 12.518256 10.840084 11.606728 11.71107   9.321934
 10.315474 11.695932  8.085142  9.47865 ]"
2,[11.237442 11.537302 10.092    10.655586  9.12862 ]
3,[ 8.767976  8.670362 12.218048 11.222826 10.742876  8.276658  5.626   ]
4,"[10.824018 11.85462  10.458154 11.560792 11.911518 10.44464  11.956294
 10.665098  8.869302  9.332664 10.99535  10.251558 10.528624 11.617168
  9.709026  8.122494 11.10236  12.875246  9.754208  8.451934  8.640956]"
5,[ 9.667846 10.378984  9.940968  6.280646]
6,"[ 8.266972  9.244968  8.691068 10.153364  9.01581  10.148376  9.887608
 10.436172  8.45234   9.627594  8.363948 10.150464 10.315068 11.46921
 11.60348  11.770288 11.647328 11.09859  10.712484  9.757166  9.446576
 10.391222 10.513138 10.729942  9.691104 10.280674 11.908502 10.902608
  9.755078  9.58305  11.048246 10.68215  12.098394 11.942084 10.011322
  9.948508 10.088056  8.57849   9.6338    9.26492   8.79686  10.711034
  8.940816  9.700964 10.68766  10.240596 10.846986 10.016136 10.79525
 11.36742  11.12353   9.704096 10.170532 10.608374  9.914926 10.97331
 11.171902 10.314314  9.335912  9.85391  10.14391   9.417344  9.038372
  9.175426 11.54316  10.513602 11.14847   9.44501  11.498268  9.278492
  8.742804  8.100686  8.679584  7.46257   9.283306  7.740042  6.540776
  8.161122  6.925548  5.008068  6.472858 11.913838  9.001194  8.228286
 11.70411  11.460104 11.563634 11.495948 11.782062 11.51358  11.098764
 11.451346 10.607504 10.670086 11.964704 10.461634 11.71252  12.242176
 12.191774 12.60804  12.365194 11.778524  9.79881   9.142714 10.540514
  9.757166 10.939206 11.212502 11.154908 11.490786 11.715478 10.83701
 10.820074 11.76936   8.885948  7.127388  8.203694  8.362788  8.389642
  9.891842 11.13368  10.726694 11.301184 12.121304 10.969366 11.137682
 10.639114 10.430604  9.194914  9.738722 10.845014 10.337804  8.257228
  8.66723   9.421114 10.888804  8.445612  8.857992 10.54208   9.126938
  8.456806  7.61743 ]"
7,"[13.050696 12.628978 12.948906 13.064848 13.465164 13.697454 13.21907
 12.708844 13.035268 12.853612 12.881974 13.40873  12.763886 12.662328
 12.972454 13.350382 11.1592   12.475162 11.867264 12.603284 11.909952
 11.719886  7.486814  6.168068  7.756978  8.559118  9.476156  9.194566
  9.625622 10.120246  9.645052  9.799912 10.033188  6.247934  5.039214]"
8,"[ 8.000926  7.703212  7.685754  8.158106  9.946362  9.196422 10.635576
  9.088832  8.87429   8.809214  9.888942  8.700696  5.712884]"
9,"[ 9.274896  9.596564  9.476562  9.103854  9.782802  9.328488  9.29972
  9.158722 10.289432  9.726252  9.588038  9.419258  9.612224  9.567332
 10.342966 10.661966  8.68869  10.434606  9.627478  7.31757   7.833596
 11.275606 11.341378 11.04349  10.90139  11.174512 10.97853  10.847682
 10.625426 10.97621  11.227234 11.315046 10.478396 11.150036 10.567484
 10.734234 11.187562 10.56267   9.516872  9.717552 11.016926 11.247476
 10.747458 11.143134 11.909604 11.77458  11.445314 11.764604 11.92364
 12.329118 11.16993  11.504358 12.075426 11.568796 11.417184 11.750916
 10.437738  9.804668 10.50322  10.859398 11.192318 10.967336 10.37098
 10.884976 11.088498 11.13484  10.924068  9.353138 10.688414 10.166994
 10.760102 10.999294  9.85652   9.639948 10.545444 10.79612  10.337746
 11.139364 11.349324 10.445684 10.842636 10.301554 10.843042 11.402568
 11.244866 11.242604 10.259388 10.94721  10.21641   9.959412 11.162274
 10.543762  9.921538 10.433794 10.57949  10.361642 10.20597   9.831058
  9.402728 10.46233  11.326704 11.053582 10.954112 11.234136 11.053176
 11.118948  8.994408  9.212894  8.305426 11.228452 11.535852 11.044128
 11.670122  8.0765    5.755514]"
