,0
0,"[-40.50479027 -40.25620738 -40.43420367 -39.63827556 -38.99469014
 -38.59645151 -39.51139031 -38.32118535 -38.83043264 -40.48869794
 -38.74501874 -38.55918712 -38.5258453  -38.68245379 -38.01120447
 -38.80140564 -38.73668328 -39.35315395 -38.79679663 -38.64126684
 -39.05686284 -38.45229716 -36.47159684 -33.48103158 -35.66188089
 -39.14668962 -37.66621469 -36.73372239 -36.8188421  -39.18866109
 -39.33422756 -37.46743859 -37.53637771 -36.71979728 -36.93906879
 -37.48263854 -35.5405755  -33.9285965  -33.23096792 -33.42062404
 -32.67111951 -33.39493123 -33.86907154 -33.77326284 -34.45814307
 -34.5952368  -32.80821323 -33.07200588 -33.0621014  -32.67876851
 -32.14892774 -34.18640723 -32.71112969 -34.5426744  -33.68333798
 -33.28862965 -34.52227705 -34.09530561 -33.61645821 -32.62473515
 -32.5531483  -32.76143662 -30.95568279 -31.06169017 -31.52259182
 -31.8325727  -34.28407915 -33.60939759 -35.52419878 -34.83265018
 -34.81441024 -34.01106847 -33.6498981  -34.95483815 -34.98504192
 -35.58019343 -37.0422323  -37.20550916 -37.83851345 -37.96383948
 -37.59541235 -38.68951441 -39.71789387 -39.8265784  -38.66637127
 -35.10487635 -31.55397236 -29.1145278  -27.14353582 -27.54501058
 -29.00567656 -30.37769251 -32.10391628 -33.01542285 -34.1180565
 -35.34228973 -36.45110142 -34.12178293]"
1,"[-41.20298763 -39.23377062 -36.85924454 -35.28855056 -35.46889059
 -34.91649506 -35.48997439 -32.35760832 -33.25970072 -35.27472351
 -35.98559076 -34.17248212 -31.85149908 -30.89753073 -27.05410129
 -21.50808154]"
2,"[-44.48605872 -44.40149798 -44.38246372 -44.50334744 -44.86700865
 -44.69478833 -44.47168252 -44.57985711 -44.47422238 -43.96708347
 -44.14464828 -43.7799672  -44.18826723 -43.98306793 -43.76669912
 -43.83307876 -43.93238836 -44.33924684 -45.98328302 -47.05200608
 -43.24604696 -42.08890924 -45.06091095 -44.25859886 -43.60548161
 -42.02736416 -41.81240748 -42.40310688 -40.98845262 -40.5327876
 -40.91129572 -42.21986415 -42.53219857 -41.29639376 -39.96092632
 -42.527668   -41.96272025 -42.22486542 -41.21720693 -40.55701925
 -41.45403193 -45.50812284 -47.28527135 -46.99895336 -46.96840637
 -46.41273549 -47.24218195 -46.77821089 -47.35461253 -46.65841568
 -47.04772068 -45.01379111 -42.95812072 -42.71658865 -42.94869675
 -42.43208484 -40.63786337 -40.63823601 -42.08493764 -43.00162199
 -42.0685217  -39.11177878 -38.8308249  -40.47506702 -42.01471388
 -41.56467774 -40.99684691 -39.48843349 -38.65470163 -36.98564927
 -34.25475796 -32.54530316 -32.16216641 -32.68994783 -29.60710418
 -29.49080006 -31.60065091 -31.70528539 -31.48101261 -30.71307201
 -31.95956581 -29.69183163 -27.64552637 -23.75296677 -24.41548838
 -25.55989737 -25.25727131 -24.8893345  -22.02615461 -27.39928721
 -31.30184935 -32.24659967 -31.6127128  -33.30990958 -32.41517199
 -30.58245052 -30.13194367 -30.3240514  -30.47163799 -32.26346671
 -31.30273193 -31.62771662 -32.5597186  -32.18864374 -29.20915973
 -25.44800614 -24.82245473 -24.87403649 -22.05390677 -19.13924319
 -17.5899272 ]"
3,"[-40.61918214 -41.87383488 -42.04317211 -42.13499941 -42.40074353
 -42.16584059 -42.05915657 -42.02270611 -41.33666872 -40.4742825
 -41.83684507 -41.27344674 -41.19905525 -39.56407039 -40.91119766
 -41.89833131 -42.20326188 -42.44175397 -41.9890701  -41.91320765
 -41.30221877 -41.09566619 -40.63603937 -40.08815479 -42.03127692
 -43.05820503 -41.95930762 -41.78079159 -42.61647492 -42.27719247
 -42.1977899  -42.10562919 -42.08953685 -42.38737738 -41.93029043
 -42.3249105  -42.30329715 -42.32007594 -42.1302531  -42.17376418
 -42.41081472 -42.64808101 -42.17890274 -39.43471393 -38.89584145
 -37.94403051 -38.88358343 -39.08804724 -40.86159679 -42.04003405
 -41.7595803  -41.95693447 -40.19888887 -40.66530172 -42.60209871
 -41.70573326 -42.3305688  -42.35954677 -41.94040085 -42.28801876
 -42.09446948 -42.17258741 -42.51887164 -41.76796479 -42.11291535
 -42.18989574 -42.09164523 -42.42458293 -42.38502384 -42.24519413
 -42.4181205  -42.41147175 -42.1162005  -41.60122626 -42.09153736
 -41.4973861  -39.97674408 -41.26566044 -42.4032932  -42.2060371
 -42.20544872 -42.22291395 -42.31262306 -42.54377014 -42.24677296
 -38.8598519  -37.14510163 -34.42587996 -31.55279559 -33.11740959
 -31.57672325 -29.25152346 -29.7600843  -29.88168388 -30.5792144
 -31.18201492 -30.64207354 -30.95872278 -30.86242376 -32.42439003
 -33.83308199 -32.12117558 -32.441159   -32.46322344 -32.18158312
 -30.98843623 -29.65152725 -30.86507149 -31.43188245]"
4,"[-21.69469768 -22.14932322 -21.11101968 -22.86587819 -21.68979447
 -22.76497015 -22.42900227 -21.49562739 -22.57884433 -21.90769308
 -21.24134697 -23.0471008  -21.57780518 -22.56766502 -21.94005426
 -22.65298086 -21.80590246 -22.18433214 -19.95003784 -20.75063381
 -23.20351317 -22.76791208 -21.10415518 -22.74898569 -22.14589098
 -21.81717984 -23.14134048 -21.75726263 -22.2304223  -22.08263958
 -22.43674934 -21.4452224  -21.84130363 -22.3604554  -21.84581458
 -22.56236955 -21.46748297 -22.58531657 -21.72343049 -22.7735998
 -21.31087448 -22.46244215 -20.724941   -21.10072294 -20.51527978
 -20.66561217 -22.7276077  -21.90632018 -22.16815155 -22.09215181
 -22.07891314 -21.5150441  -21.80227409 -22.22228297 -22.14304712
 -21.52779244 -21.98869409 -21.5333821  -21.96133419 -21.15112793
 -22.47803436 -22.03399975 -22.30102851 -22.50578652 -22.34643223
 -21.96917932 -22.41546941 -21.90896792 -22.10048726 -21.43119923
 -21.39658257 -22.32632907 -22.06812608 -22.13451553 -21.69204995
 -22.14373356 -20.90841908 -22.83979312 -24.53934344 -26.11641159
 -28.82465008 -33.59086346 -29.30692972 -28.34188011 -30.30649791
 -31.92269368 -29.83814339 -25.64972416 -21.57113681 -17.50255201
 -16.68979608 -15.71699941 -16.4824884  -15.86370342 -17.19031566
 -14.90002672 -15.72376584 -16.29744129 -17.24121097 -18.27402292
 -17.00477823 -13.94684288  -9.14807219  -3.78347118  -0.0863535
   1.83629283   1.42030458   3.70569031   4.41106597   4.19807057
   4.4624516    4.31221727   3.28489691   0.09771297  -2.42969516
  -2.28710984  -1.47445197  -0.35083259  -1.25076758   0.88781608
   1.21525238   1.95151825   0.54135533  -0.45625159  -1.22791862
  -0.63541484  -2.57100565  -2.96934235  -4.58975487  -3.58145896
   0.38984617   3.26802987   5.51938734   5.93321818   5.83701722
   6.06060355   4.62847426   2.6544423    3.52642899   3.13328969
   2.23080503   0.03808995  -1.30019193  -4.94357044  -5.1763748
  -2.62356805  -4.36999304  -4.05873733  -2.79115973  -4.64172889
  -3.03308407  -4.44805213  -3.2922677   -4.24957023  -4.42275157
  -3.27030132  -5.17480578  -2.2190533   -1.87278868  -5.23795911
  -3.16841263  -0.98393494  -1.26616365  -4.07589856  -4.15886086
  -2.45401508  -3.86996378  -1.94614068   0.0560357    3.25675249
   1.82148514   0.50516964  -1.80963535  -3.33806367  -3.13055986
  -3.8206375   -2.2809318   -2.9461992   -3.20204865  -3.75748417
  -2.71859224  -1.83885847  -3.65971418  -4.06579795  -2.36379603
  -3.38081965  -4.01245104  -1.89249958  -4.32655061  -3.57626156
  -2.12912845  -3.00954866  -3.33835786  -3.68305346  -3.09682578
  -1.52103246   1.98103557   5.2919765    8.98026841]"
5,"[-22.42007843 -21.89317958 -23.70864176 -23.28137613 -22.88196072
 -22.34280385 -21.8939641  -22.37290956 -21.52514471 -21.97780897
 -21.06130114 -21.87435126 -21.93005171 -21.81266889 -22.58149207
 -21.78305351 -22.03213653 -22.55825086 -22.84646148 -21.74019946
 -21.99967728 -22.05508354 -21.91710724 -22.24532806 -21.81355147
 -21.89621957 -21.71676212 -21.98859603 -22.55354378 -21.26243077
 -21.32254411 -22.2093385  -22.26415638 -21.74539686 -21.84375524
 -21.72794144 -22.01830948 -21.56299749 -23.09672127 -22.38909015
 -22.25640931 -21.95505808 -22.1277491  -21.3981516  -22.03762812
 -22.43135581 -22.31122719 -22.17854635 -21.83767526 -22.17158379
 -21.94230974 -22.07342155 -22.03292104 -22.00516888 -22.34878577
 -22.27729698 -21.93250332 -21.99879471 -21.80805987 -22.14491033
 -22.55609344 -21.97829929 -22.22542103 -22.34888383 -22.31495362
 -21.76344067 -22.121473   -22.40909524 -21.3428434  -22.14814645
 -22.02272237 -21.99938309 -21.99447988 -21.7097015  -21.31744478
 -22.09636857 -21.43119923 -23.06092785 -21.64733268 -21.95348905
 -21.8279669  -21.70577893 -21.66773003 -22.06008482 -22.27092281
 -22.52892967 -22.6972078  -21.9725135  -21.64743075 -21.68910802
 -21.7452988  -23.06887105 -21.92191239 -22.06989124 -23.37012421
 -23.00483514 -21.7200963  -21.98879216 -21.70715183 -21.90455503
 -22.37575342 -22.24552418 -21.97967219 -21.86562355 -22.6958349
 -21.72235178 -21.42247151 -22.9378573  -21.63909529 -21.82080822
 -22.28033697 -22.11058787 -21.62928887 -22.16560188 -21.76442131
 -22.35055092 -22.60169329 -22.3382929  -21.60222316 -21.88729573
 -22.40987975 -21.47091522 -21.59222061 -22.32613294 -22.77830688
 -23.70403275 -21.5848658  -22.00683597 -21.86160292 -22.23924808
 -21.96457031 -21.24997662 -21.87611641 -21.73892463 -22.43204226
 -21.27949394 -22.15599159 -21.80933471 -22.18001731 -21.79717475
 -22.57021469 -21.75020201 -21.81698371 -21.92004917 -22.05263194
 -21.95270454 -21.9002402  -21.96104    -21.99085151 -22.26484283
 -21.08846491 -21.52279117 -22.3884037  -22.5000988  -22.22836295
 -22.07087188 -22.36016121 -21.95858839 -21.7808961  -22.4001714
 -22.14157615 -21.91808788 -21.79864571 -21.96221677 -22.39252239
 -22.25209448 -21.66498423 -21.79423282 -21.20535742 -21.592809
 -21.41903927 -21.36186785 -22.62199257 -22.14726388 -21.60310574
 -21.92995365 -21.54377691 -22.45351831 -22.14628323 -22.47636727
 -21.89808279 -21.90328019 -21.82698626 -22.08401248 -22.17795796
 -21.41756831 -21.88454993 -22.54118769 -21.82973206 -22.17472185
 -21.33303698 -22.29690981 -21.70607313 -21.49317579 -21.96251096
 -22.20600432 -21.73304078 -21.93779878 -21.91465564 -22.23405067
 -22.3276039  -22.93893601 -21.64909784 -21.8870996  -22.05626032
 -21.35725883 -21.57741292 -21.4455166  -21.78481866 -21.76255809
 -21.72186146 -22.0346862  -22.0001676  -22.56648825 -22.35015867
 -21.7726587  -21.75275168 -21.43443534 -21.95976516 -21.9005344
 -22.17432959 -22.12480718 -22.96972816 -22.08195313 -22.27788536
 -21.84571652 -21.45238109 -22.22836295 -22.73192252 -22.68200785
 -22.32750584 -21.63870303 -21.78138642 -22.12264977 -22.46165764
 -22.74898569 -21.91436145 -22.43537644 -22.05233775 -22.22169459
 -22.49833364 -23.23254016 -23.65941354 -23.42150984 -21.21212385
 -22.82449511 -23.81925816 -23.62538527 -23.87476248 -23.60832211
 -23.00542352 -22.35839606 -22.93932826 -22.9326599  -22.14255679
 -22.54167801 -23.86534832 -23.75875256 -26.63370015 -30.5753899
 -34.30222103 -36.60918088 -36.03628994 -37.6763153  -36.26173949
 -38.77973346 -38.66391966 -37.33946484 -36.39294936 -37.93128217
 -37.28268568 -38.76129739 -38.87671893 -39.27288842 -41.34796571
 -44.12150513 -46.75842154  48.20741171  46.65387896  45.60635738
  44.81223364  44.46302709  44.18550546  44.57030931  45.0491567
  43.98957323  44.60198404  44.86881667  44.40026602  44.09273675
  44.23679303  44.06665167  44.88774306  42.24785531  40.36355208
  44.19050673  43.59751263  42.71709242  43.51494259  42.7163079
  42.55106976  39.9443277   38.80472386  39.93197162  40.30167358
  39.40624954  39.09950479  37.58902221  37.98206345  37.04162795
  34.95766604  33.15710962  33.05904544  34.73643325  36.56552635
  37.16146238  36.57994179  37.00240228  36.66202151  37.26815621
  37.10370258  37.21333833  37.23010731  37.25462335  37.41995956
  37.48536837  35.98322125  34.06135943  35.21763419  36.79411396
  38.16711055  37.39201127  37.70414956  36.51002203  37.26129172
  38.08405019  39.93589418  40.03229127  39.66788478  39.95403606
  39.63317006  40.8702497   41.50845139  41.68810497  44.18295579
  46.53316195  46.65338864  46.02813142  44.92667454  45.68029777
  44.95324993  45.03866383  47.2059803   46.18326895  45.54800919
  47.43044921 -48.92824158 -48.02656791 -45.02571572 -44.58079853
 -47.1854224  -47.33784355 -45.06246037 -42.13631347 -42.32173322
 -43.90095879 -40.72041379 -40.71168608 -43.66517327 -41.69882954
 -41.98316664 -43.86151738 -39.74028192 -36.49366128 -38.52653174
 -42.96721127 -46.27101314 -45.22617852 -43.94959862 -42.95069726
 -44.29190145 -45.99340325 -47.19201231 -47.33364641 -47.93737854
 -47.88401201 -46.96027685 -45.81237677 -45.50065035 -43.84744517
 -44.21599978 -47.22689374 -45.82242835 -45.7184607  -43.55042837
 -45.60638315 -47.71022267 -47.84921884 -46.50466085 -46.9119312 ]"
6,"[-26.93230558 -28.63617072 -27.52882999 -27.27533408 -25.76269409
 -27.37575181 -26.94426941 -29.76959652 -31.40177675 -33.80317241
 -31.91131823 -29.25927053 -25.48174022 -22.09891823 -19.65339369
 -18.89584789 -18.10535253 -18.118297   -18.44396815 -20.5195946
 -21.93191493 -19.77832746 -19.58023781 -21.10278228 -20.25217358
 -21.70420991 -19.4822717  -17.76771756 -17.74888924]"
7,"[-17.6041465  -14.78215357 -13.6385291  -16.65204137 -22.17177992
 -23.71962495 -23.7400223  -24.07491148 -23.72786234 -20.23873879
 -20.57402022 -20.1634255  -17.31073848 -12.83793312]"
8,"[-25.81878681 -25.25177971 -23.57409771 -23.82533814 -21.78599543
 -19.55689854 -17.51127973 -20.91038036 -18.1027048  -17.29465595
 -18.01356446 -15.61648362 -14.99583542 -17.35800541 -16.95398099
 -16.20545709 -16.11111935]"
9,[-21.46581588 -21.18358717 -23.01130737 -26.98369121]
